Protein.IDs,Gene.name,Uniprot,Median.Ratio.C.N
IPI00022624,GPCR5A;GPRC5A;RAI3;RAIG1,Q8NFJ5;A8K556,111.9096
IPI00247674,PALM3,A6NDB9,34.19233
IPI00001734;IPI00941072;IPI00930609;IPI00219478;IPI00940110;IPI00953898,PSA;PSAT1,B4DHQ3;Q9Y617-1;Q9Y617;Q9Y617-2,26.16672
IPI00872375;IPI00220194;IPI00909237;IPI00641837;IPI00640593,GLUT1;SLC2A1,Q59GX2;P11166;A8K9S6;B3KVN0;B4DDR6;Q0P512;A8MWM7;B4DKW1;C9JIM8,17.7352
IPI00000733,CDABP0061;CGI-48;UTP18;WDR50,Q9Y5J1;B2RAX6,16.87362
IPI00009542;IPI00477809;IPI00337823;IPI00941467;IPI00910881;IPI00549529;IPI00909974;IPI00910470;IPI00005750;IPI00029683;IPI00791934;IPI00293288;IPI00398845;IPI00909765;IPI00328354;IPI00645649;IPI00927381;IPI00828043;IPI00788795;IPI00925538,BCG1;MAGED2;RP1-14O9.1-004;hCG_18665;RP1-14O9.1-005,Q9UNF1-1;Q9UNF1;C9JMB9;Q9UNF1-2;Q5H909;B4DX55;Q5H907,14.81589
IPI00008215,ME1,P48163;A8K168;B4DX99;B4DZ70;Q8WVX2,12.60385
IPI00008986;IPI00643866;IPI00644701;IPI00549477;IPI00910358,CD98LC;LAT1;MPE16;SLC7A5;lat1,Q01650;Q2MCL6;Q8IV97;Q96QB2,12.29009
IPI00939304;IPI00793443;IPI00937471;IPI00947241;IPI00947034;IPI00947546;IPI00946866;IPI00514205;IPI00944936;IPI00947253;IPI00514622;IPI00947399;IPI00947392;IPI00946708;IPI00947378;IPI00639960;IPI00945088;IPI00945623;IPI00946357;IPI00946140;IPI00945788,IPO5;KPNB3;RANBP5,O00410-3;O00410;O00410-1;B3KWG6;B4E0R6;Q9BVS9;O00410-2,11.06148
IPI00470610;IPI00908985;IPI00747534;IPI00642541;IPI00335061;IPI00514380,PYCR2;hCG_32783;P5CR2,Q96C36;B4DQK8;B3KMB7;Q4W8W1,10.94704
IPI00029643;IPI00384771;IPI00952629,HCCS4;MLTK;ZAK,Q9NYL2-2;Q9NYL2;A8K710;B4DQ47;Q9NYL2-3,10.86099
IPI00418240;IPI00910364;IPI00872370;IPI00943314;IPI00844035;IPI00914847;IPI00917728;IPI00303335;IPI00917120;IPI00873952;IPI00953185,LNEBL;NEBL;RP11-56H7.1-003,B7ZB56;Q59FZ8;Q70I54;Q8N8M3;B4DH47,10.76494
IPI00027192;IPI00943008;IPI00942946;IPI00641236;IPI00643385,PLOD1;RP5-1077B9.2-005;LLH;PLOD,B2R5M9;B4DR87;Q5JXB8;Q02809;B4DHT1,10.50721
IPI00181116;IPI00917966;IPI00917458;IPI00916569;IPI00916398;IPI00916691,BXDC4;IMP4;MGC19606,Q96G21;Q3ZTT3;B8ZZ47;B9A008,10.04247
IPI00217240,WDR75,Q8IWA0;A8K330;Q05D27,9.97848
IPI00031514;IPI00373883;IPI00925306;IPI00908568;IPI00924976,RFC5,P40937;A8K3S0;Q59GW7;Q6LES9;A8K4Z2;A8MZ62,9.47492
IPI00179700;IPI00744851;IPI00952829;IPI00746310,HMGA1;HMGIY,P17096-1;P17096;B4DWA0;C9J292;P17096-3,9.42398
IPI00062866,C7orf39;ZC3HAV1L,Q96H79-1;Q96H79,9.37435
IPI00396329;IPI00478298;IPI00644504,BXDC1;RPF2;RP11-397G5.1-002;RP11-397G5.1-003,Q9H7B2;A8K800;B4DWS5;Q5VXM9;Q5VXN0,9.31019
IPI00003768;IPI00554461;IPI00878536;IPI00854683;IPI00879274;IPI00879039;IPI00445559;IPI00465328;IPI00873098,PES1;hCG_2010949,O00541-1;O00541;B2RDF2;B3KTZ6;O00541-2;B5MCF9;B3KXD6,9.26833
IPI00018196;IPI00939419;IPI00797721;IPI00556116,HUSSY-07;NLE1,Q9NVX2;Q59GJ8;B4E074;B4E303,8.99483
IPI00004290;IPI00607869,C1orf107;DEF,Q68CQ4;A8K0P8;B3KVX2,8.96733
IPI00910593;IPI00015262;IPI00910272;IPI00398735,CNN2;hCG_21577,B4DUT8;Q99439;A5D8U8;B4DDF4;Q53GK7;Q6FHC3;Q6FHE4;B4DHU5;B4DN57;A6NFI4,8.71343
IPI00410657;IPI00747403,KIAA0398;RNMT;hCMT1c,O43148-2;O43148;O43148-1;A8K946;B7Z3U8;B7Z8S9;Q05D80;Q05DQ2;Q9UEB8,8.50359
IPI00294834;IPI00944640;IPI00941148;IPI00032449;IPI00746217;IPI00396582;IPI00032453;IPI00944646;IPI00909538;IPI00921959;IPI00910043;IPI00433478;IPI00796966;IPI00024572;IPI00032450,ASPH,Q12797;A8K721;B3GQE5;B8Y0L3;B4E2K4,8.39072
IPI00152453;IPI00013683;IPI00640115;IPI00644620,MC1R;MSHR;hCG_2039647;TUBB3;hCG_2042771;TUBB4;hCG_1983504,Q01726;A8I0M1;B2RBD5;B3KNP6;Q1JUL4;Q1JUL6;Q1JUL8;Q1JUL9;Q1JUM0;Q1JUM2;Q1JUM3;Q1JUM4;Q1JUM5;Q3ZCR3;Q53G92;Q6UR92;Q6UR93;Q6UR94;Q6UR95;Q6UR96;Q6UR97;Q6UR98;Q6UR99;Q6URA0;Q7KZS6;Q86YW1;Q13509;A8K854;Q9BV28,8.298
IPI00152946;IPI00386477;IPI00793957;IPI00792125,KIAA1478;MGCRACGAP;RACGAP1,Q9H0H5;B2RE34,7.91644
IPI00169325,WDR36;DKFZp686I1650,Q8NI36;Q68E02,7.80192
IPI00746351;IPI00183462,DIS3;KIAA1008;RRP44,Q9Y2L1-1;Q9Y2L1;A8QI98;Q9Y2L1-2;B3KM83;Q49AG4,7.79488
IPI00306723,CBF2;CEBPZ,Q03701;B2R5U7,7.72196
IPI00002520;IPI00789370;IPI00795816;IPI00794572;IPI00909681;IPI00748411;IPI00908824;IPI00794549;IPI00794060;IPI00797816;IPI00797146;IPI00795324;IPI00940666;IPI00386540;IPI00797074,SHMT2;DKFZp686P09201;hCG_41231,P34897;B4DJQ3;Q53ET4;Q5HYG8;B7Z9F1;Q8N1A5;B4DP88;B4E1G2;B4DW25;B4DWA7;Q5BJF5;B4DJ63;B4DLV4,7.67775
IPI00232533;IPI00074224;IPI00642387,EIF1A;EIF1AX;EIF4C,P47813,7.57129
IPI00154590;IPI00916807;IPI00916663;IPI00908705;IPI00915819;IPI00916514,MKI67IP;NIFK;NOPP34,Q9BYG3;C9J808;C9J6C5,7.19303
IPI00005677;IPI00640892;IPI00514057,DAPAT;DHAPAT;GNPAT;RP5-876B10.1-002,O15228;B2RAG5;B3KN78;B4DNM9;Q53FI2;Q53H08;Q59EC9;Q71V38;Q5TBH8,7.1603
IPI00288941;IPI00647587,KIAA1637;NCOA5,Q9HCD5;B2RTV9,7.07137
IPI00640703;IPI00747670;IPI00549861;IPI00872800;IPI00553171;IPI00640551,KIAA1291;RANBP21;XPO5;RP3-337H4.5-003,Q9HAV4-1;Q9HAV4;A8K5Y7;B3KPQ5;Q9HAV4-2;C9J4N8;B3KNC6;Q5JTE8,6.98309
IPI00737638,FAM169A;KIAA0888,Q9Y6X4-1;Q9Y6X4,6.95084
IPI00260715;IPI00221354;IPI00941083;IPI00645208;IPI00909890;IPI00428056;IPI00854677,FUS;TLS,P35637-1;P35637;Q13344;P35637-2;B4DR70;Q70T18;A6NMX6,6.90347
