accession.number,gene.name,Entry,"Entry name",,mTRAQ.ratio..N.C.a,cICAT.ratio..N.C.a
IPI00000279,ZC3H15,Q8WU90,ZC3HF_HUMAN,,0.37,0.14
IPI00000494,RPL5,P46777,RL5_HUMAN,,0.47,0.25
IPI00000856,FERMT2,Q96AC1,FERM2_HUMAN,,0.44,0.41
IPI00000873,VARS,P26640,SYVC_HUMAN,,0.38,0.41
IPI00001632,KIAA1522,Q9P206,K1522_HUMAN,,3.66,2.54
IPI00001922,ST14,Q9Y5Y6,ST14_HUMAN,,2.1,2.21
IPI00002606,SCIN,Q9Y6U3,ADSV_HUMAN,,3.08,2.8
IPI00002745,CTSZ,Q9UBR2,CATZ_HUMAN,,2.33,2.35
IPI00002824,CSRP2,Q16527,CSRP2_HUMAN,,0.42,0.38
IPI00003406,DBN1,Q16643,DREB_HUMAN,,0.39,0.35
IPI00003590,QSOX1,O00391,QSOX1_HUMAN,,5.64,3.73
IPI00003881,HNRNPF,P52597,HNRPF_HUMAN,,0.43,0.49
IPI00003918,RPL4,P36578,RL4_HUMAN,,0.26,0.34
IPI00004503,LAMP1,P11279,LAMP1_HUMAN,,0.47,0.49
IPI00004573,PIGR,P01833,PIGR_HUMAN,,7.13,6.23
IPI00005179,POLR1C,O15160,RPAC1_HUMAN,,0.33,0.47
IPI00005609,VWA5A,O00534,VMA5A_HUMAN,,2.01,2.26
IPI00005707,MRC2,Q9UBG0,MRC2_HUMAN,,0.39,0.34
IPI00005948,MRI1,Q9BV20,MTNA_HUMAN,,0.42,0.34
IPI00006038,NUP98,P52948,NUP98_HUMAN,,0.11,0.49
IPI00006167,PPM1G,O15355,PPM1G_HUMAN,,0.45,0.37
IPI00006379,NOP58,Q9Y2X3,NOP58_HUMAN,,0.38,0.24
IPI00006690,EPX,P11678,PERE_HUMAN,,0.24,0.18
IPI00006725,DDX23,Q9BUQ8,DDX23_HUMAN,,0.48,0.36
IPI00006932,LUC7L2,Q9Y383,LC7L2_HUMAN,,0.4,0.48
IPI00006952,LACTB2,Q53H82,LACB2_HUMAN,,0.27,0.34
IPI00007047,S100A8,P05109,S10A8_HUMAN,,0.05,0.15
IPI00007244,MPO,P05164,PERM_HUMAN,,0.1,0.08
IPI00007427,AGR2,O95994,AGR2_HUMAN,,3.8,4.29
IPI00007673,CHCHD2,Q9Y6H1,CHCH2_HUMAN,,0.43,0.45
IPI00007797,FABP5,Q01469,FABP5_HUMAN,,2.25,2.07
IPI00008034,RAB23,Q9ULC3,RAB23_HUMAN,,0.28,0.44
IPI00008037,ACSL5,Q9ULC5,ACSL5_HUMAN,,0.48,0.47
IPI00008240,MARS,P56192,SYMC_HUMAN,,0.42,0.44
IPI00008433,RPS5,P46782,RS5_HUMAN,,0.47,0.37
IPI00008524,PABPC1,P11940,PABP1_HUMAN,,0.46,0.42
IPI00008708,RSL1D1,O76021,RL1D1_HUMAN,,0.15,0.1
IPI00008918,LIMA1,Q9UHB6,LIMA1_HUMAN,,2.47,2.31
IPI00008934,HMGCS2,P54868,HMCS2_HUMAN,,6.97,7.26
IPI00008994,NDRG2,Q9UN36,NDRG2_HUMAN,,2.14,2.57
