"uniprot","epithelial","gene","log2_fold"
"P12429",TRUE,"ANXA3",1.44
"P00918",TRUE,"CA2",-2.26
"Q9UBR2",TRUE,"CTSZ",-1.23
"P17174",TRUE,"GOT1",-0.61
"P31949",TRUE,"S100A11",1.49
"P00338",TRUE,"LDHA",0.62
"P07195",TRUE,"LDHB",0.62
"O60701",TRUE,"UGDH",-0.7
"P55011",TRUE,"SLC12A2",0.85
"O95571",TRUE,"ETHE1",-0.74
"Q01105",TRUE,"SET",0.72
"Q16851",TRUE,"UGP2",-0.53
"Q00796",TRUE,"SORD",0.62
"Q15181",TRUE,"PPA1",0.64
"Q9H2U2",TRUE,"PPA2",0.64
"P07339",TRUE,"CTSD",-0.71
"P19338",TRUE,"NCL",0.5
"Q6UWP2",TRUE,"DHRS11",-1.2
"Q53EL6",TRUE,"PDCD4",-0.51
"P08123",TRUE,"COL1A2",-1.21
"Q56VL3",TRUE,"OCIAD2",0.95
"P50225",TRUE,"SULT1A1",-0.63
"P53634",TRUE,"CTSC",-0.58
"O95881",TRUE,"TXNDC12",0.55
"P12111",TRUE,"COL6A3",-0.74
"P80188",TRUE,"LCN2",1.32
"P12956",TRUE,"XRCC6",0.53
"Q6NZI2",TRUE,"PTRF",-0.76
"P09382",TRUE,"LGALS1",-0.84
"P25815",TRUE,"S100P",3.38
"Q15118",TRUE,"PDK1",-0.9
"O75380",TRUE,"NDUFS6",-0.63
"Q9HAW8",TRUE,"UGT1A10",-0.95
"Q15293",TRUE,"RCN1",0.61
"P17931",TRUE,"LGALS3",-0.62
"P36952",TRUE,"SERPINB5",1.31
"P09211",TRUE,"GSTP1",0.55
"Q16563",TRUE,"SYPL1",1.16
"P35555",TRUE,"FBN1",-0.74
"Q9H4M9",TRUE,"EHD1",-0.56
"Q9NZN4",TRUE,"EHD2",-0.56
"Q9H223",TRUE,"EHD4",-0.56
"B4DR31",TRUE,"DPYSL2",-0.55
"P06703",TRUE,"S100A6",1.18
"P20042",TRUE,"EIF2S2",0.68
"P51858",TRUE,"HDGF",0.56
"P49959",TRUE,"MRE11A",0.64
"O00299",TRUE,"CLIC1",0.67
"Q9Y696",TRUE,"CLIC4",0.67
"P61604",TRUE,"HSPE1",0.52
"O43252",TRUE,"PAPSS1",-0.57
"Q12765",TRUE,"SCRN1",-0.64
"P48556",TRUE,"PSMD8",0.56
"O60547",TRUE,"GMDS",0.58
"P61626",TRUE,"LYZ",0.74
"Q9Y224",TRUE,"C14orf166",0.52
"Q9NVP1",TRUE,"DDX18",0.67
"P39687",TRUE,"ANP32A",0.56
"Q92688",TRUE,"ANP32B",0.56
"Q12874",TRUE,"SF3A3",0.5
"P04899",TRUE,"GNAI2",-0.51
"Q14344",TRUE,"GNA13",-0.51
"P63092",TRUE,"GNAS",-0.51
"Q9HAW7",TRUE,"UGT1A7",-0.87
"Q9HAW9",TRUE,"UGT1A8",-0.87
"O60656",TRUE,"UGT1A9",-0.87
"P06748",TRUE,"NPM1",0.81
"P13688",TRUE,"CEACAM1",-1.06
"P19823",TRUE,"ITIH2",-0.71
"P27695",TRUE,"APEX1",0.54
"Q9BPX5",TRUE,"ARPC5L",0.67
"P62263",TRUE,"RPS14",0.52
"Q07021",TRUE,"C1QBP",0.76
"O15143",TRUE,"ARPC1B",-0.5
"Q03154",TRUE,"ACY1",0.6
"Q96HE7",TRUE,"ERO1L",0.5
"Q9Y266",TRUE,"NUDC",0.56
"Q96SQ9",TRUE,"CYP2S1",0.84
"P04844",TRUE,"RPN2",0.55
"P21980",TRUE,"TGM2",-0.55
"O14745",TRUE,"SLC9A3R1",-0.51
"Q92973",TRUE,"TNPO1",-1.01
"P12109",TRUE,"COL6A1",-0.67
"Q9BX66",TRUE,"SORBS1",-0.64
"E9PGJ9",TRUE,"CC2D1A",-0.53
"P49006",TRUE,"MARCKSL1",0.51
"Q9NRP0",TRUE,"OSTC",0.76
"Q8IV08",TRUE,"PLD3",-0.74
"Q03135",TRUE,"CAV1",-0.71
"Q9UKY7",TRUE,"CDV3",0.79
"Q7Z4V5",TRUE,"HDGFRP2",0.65
"Q99757",TRUE,"TXN2",-0.73
"P62861",TRUE,"FAU",0.51
"P57737",TRUE,"CORO7",-0.83
"P10606",TRUE,"COX5B",-0.71
"P63167",TRUE,"DYNLL1",0.63
"Q96FJ2",TRUE,"DYNLL2",0.63
"Q9UNN8",TRUE,"PROCR",-0.78
"P07099",TRUE,"EPHX1",-0.54
"P32322",TRUE,"PYCR1",0.55
"Q9P0J0",TRUE,"NDUFA13",-0.6
"E9PFN5",TRUE,"GSTK1",-0.95
"O75531",TRUE,"BANF1",0.73
"P26447",TRUE,"S100A4",-0.53
"Q9NVJ2",TRUE,"ARL8B",0.5
"Q8N752",TRUE,"CSNK1A1",0.52
"P40616",TRUE,"ARL1",0.6
"P62158",TRUE,"CALM1;CALM2;CALM3",0.67
"P49821",TRUE,"NDUFV1",-0.66
"Q96BM9",TRUE,"ARL8A",0.54
"Q9NR56",TRUE,"MBNL1",0.55
"P05387",TRUE,"RPLP2",0.62
"Q96AB3",TRUE,"ISOC2",-0.51
"Q08752",TRUE,"PPID",0.55
"Q96DG6",TRUE,"CMBL",-0.51
"P61619",TRUE,"SEC61A1",0.59
"P56381",TRUE,"ATP5E",-0.52
"Q5VTU8",TRUE,"ATP5EP2",-0.52
"P14174",TRUE,"MIF",0.51
"Q96S52",TRUE,"PIGS",-0.61
"P15559",TRUE,"NQO1",0.56
"P55735",TRUE,"SEC13",0.59
"P02452",TRUE,"COL1A1",-1.32
