"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"P04217;P04217-2;B3KWB5","+","","",-0.74,0.77,0.03
"Q9NQ94;F8W9F8;Q9NQ94-2;Q9NQ94-6;Q9NQ94-4;Q5T0W7","+","","",-0.69,0.32,-0.37
"Q9NRG9;F8VZ44;Q5JB47","+","","+",1.09,-0.08,1.01
"Q86V21;Q86V21-2;Q86V21-3","+","","",-0.72,0.54,-0.18
"Q6PD74;H0YKW0;B4DG44","+","+","",-1.26,1.45,0.2
"C9JEH3;Q13685;C9JG97;C9JTS3","+","","",-0.67,0.43,-0.24
"P49588;E7ETK8","","+","+",-0.06,0.8,0.74
"Q5JTZ9","+","","",0.57,-0.36,0.21
"Q9NRN7;E9PLW6","","+","",-0.27,0.87,0.6
"Q9UDR5;F8WAH1","","+","+",-0.31,-1.01,-1.32
"Q9NY61","+","","+",1.98,-0.21,1.77
"C9JQE6;O94911;F5H6Z4;E7ESM7","+","","+",-2.68,-0.45,-3.13
"P08183;B5AK60;H0YFD0","","","+",0.98,0.95,1.93
"Q9NP58;Q9NP58-4","+","","",0.84,-0.83,0.02
"O75027-2;O75027;G3V1J3;G3XAC4;B4DGL8","","+","",-0.27,0.75,0.48
"P33527;P33527-9;P33527-3;P33527-2;P33527-4;P33527-5;P33527-7;P33527-6;P33527-8;F5GXL7","+","","+",1.07,0.27,1.34
"O15438;O15438-2","","+","+",0.12,-1.79,-1.67
"P61221;D6R9I9","","+","+",0.14,0.5,0.64
"Q8NE71;H0YGW7;E9PC67;F8VQZ0","","","+",0.13,0.27,0.39
"Q8NFV4;Q8NFV4-4;C9J7Q4","+","","",-0.88,0.56,-0.32
"Q8N2K0-2;Q8N2K0;Q8N2K0-3","+","+","",-1,1.65,0.65
"O14639-2;A6NKJ2;F8W8M4;Q5T6N4;O14639;C9K0X4;Q5T6N2;A6NCD9;A6NDU2;F8WAB0;H0Y3K7;F8WAB1","+","+","",1.15,-1.18,-0.04
"E9PF39;E7EPT1;Q6H8Q1;F8W6D8;Q6H8Q1-5;Q6H8Q1-2;F5GYR0;Q19VH0;Q08E71;F5GZL6;Q6H8Q1-3;Q6H8Q1-6;Q6H8Q1-4","+","","",1.55,-0.48,1.07
"P16442","+","","+",-1.77,-1.23,-2.99
"C9J690;P19801-2;P19801;E7ER24;C9J2J4","+","+","+",-1.52,-1.35,-2.87
"Q9ULW3","+","+","+",1.41,0.98,2.4
"P09110;F5GXL8;C9JDE9;G5E935;H0Y4D4","+","","",-0.68,0.35,-0.32
"Q13085-4;Q13085;Q13085-2;Q13085-3;F8W6G0","","+","+",0.24,0.52,0.76
"Q9UKU7;B7Z5W4;Q6ZWP6","","+","+",-0.11,-0.97,-1.07
"B7Z9I1;Q5T4U5;P11310-2;P11310;B4DJE7","","","+",-0.38,-0.76,-1.14
"P16219;E9PE82","","+","+",-0.55,-1.73,-2.28
"G3V1M7;F5H2A9;P49748;P49748-2;F5GYP4","","+","+",-0.3,-1.01,-1.31
"Q15057","+","+","",0.49,-0.82,-0.33
"P24752","+","","",-1.02,0.51,-0.51
"Q9BWD1;B7Z233","+","+","",-0.82,0.81,-0.01
"Q5T8D3-3;Q5T8D3-2;Q5T8D3;Q5T8D3-4;B7Z2A7;Q5T8E0","+","","+",0.64,0.2,0.85
"Q8N6N7","","+","+",0.16,1.82,1.98
"E7EQT4;Q9UKV3","+","+","",0.82,-0.56,0.26
"E7ENH9;P53396;P53396-2;B4E3P0","","+","",-0.39,0.67,0.29
"A2A274;Q99798;F5H2A5;B4DEC3;B4DW08","","+","+",0.3,-1.55,-1.24
"Q8WXI4-2;Q8WXI4","","+","+",0.02,-1.06,-1.04
"P49753;P49753-2;B3KSA0","","+","+",0.05,-1.38,-1.32
"O14734;A6NDT2;E9PJN0;E9PRD4","","+","+",0.06,1.71,1.78
"Q9Y305-2;Q9Y305-4;Q9Y305;Q9Y305-3","+","","+",0.76,0.16,0.92
"Q9NPH0;Q9NPH0-2","+","","",1.44,-0.89,0.55
"P15309-2;P15309;Q5FBY0;E9PFE6","","","+",-1.19,-0.54,-1.73
"B4DFQ6;Q96CM8;B4DHT5;E9PF16","","+","",0.28,-0.77,-0.5
"O95573","","+","",-0.46,0.67,0.21
"O60488;O60488-2","","+","+",-0.46,2.22,1.76
"Q53FZ2;E7ETR5;Q53FZ2-2","+","+","+",-0.78,-1.56,-2.34
"Q5QPH3;Q9NR19;F6WZD5","+","","+",-1.26,0.34,-0.91
"P62736","+","+","+",-1.09,-0.89,-1.98
"P63261;F5H0N0","+","","",-0.52,0.17,-0.35
"O96019;O96019-2","+","","+",0.38,0.32,0.7
"Q1HE25;B7TY16;P12814-2","+","+","",0.54,-0.71,-0.18
"O43707;D6PXK4;F5GXS2","+","","",0.23,0.03,0.26
"P61163;F5H3I4","+","","+",-0.37,-0.29,-0.65
"P42025","+","","+",-0.84,-0.14,-0.98
"E9PF41;P61160","+","","",-0.39,0.11,-0.28
"P61158;B4DXW1;F5H3P5;B4DTI0","+","","",-0.54,0.25,-0.29
"Q9H9F9","","+","+",0.56,0.74,1.3
"Q9GZN1;F8W057;F8W0Q1;F8W043;F8VP72","","+","+",0.21,1.21,1.41
"P00813;F5GWI4;F5GXW0","+","","",-0.78,0.37,-0.41
"O14672;A8MY20;B4DU28","","+","+",0.1,-1.15,-1.05
"F6XZ68;O75689;H0Y7Q1;F5H7V4;F8WC17","","+","",-0.11,0.96,0.84
"E7ENU4;P55265-4;P55265;P55265-2;H0YCK3;P55265-5","","+","+",0.24,0.53,0.77
"Q8NI60;Q5T7A4;Q8NI60-3;Q5T7A2;B4DED1;Q8NI60-4","+","","",0.5,-0.27,0.23
"P35611-3;P35611;E7ENY0;A2A3N8;E7EV99;P35611-2;Q86XM2;H0Y9H2;Q96D30","","+","",0.35,-0.98,-0.63
"P00325;F5HB16;A8MYN5","+","+","+",-2.76,-2.65,-5.41
"P00326","+","+","+",-3.3,-1.71,-5.01
"P11766;H0YAG8","","+","+",-0.13,-0.74,-0.87
"P28332-2;P28332;E9PBI1;D6RH17;B7ZAL1","+","+","+",1.24,-2.79,-1.55
"Q9BV57;Q9BV57-2","","","+",0.37,0.63,1
"P55263;B7Z783;P55263-2;B7Z800","","+","+",-0.06,0.75,0.69
"Q9H2P0","+","+","+",0.85,0.61,1.45
"Q96SZ5","","+","+",0.47,0.67,1.13
"Q16186;E9PEC0","","+","+",-0.28,0.74,0.45
"P30520","+","","+",0.92,0.03,0.94
"Q8IUX7;Q8IUX7-2","","+","+",0.07,1.72,1.79
"Q08117;Q14CJ1","+","","",-2.81,1.72,-1.08
"E9PDT7;Q8N556","+","+","",1.8,-1.57,0.23
"Q8N4X5-4;H0Y3K9;Q8N4X5-2","+","+","",1.65,-2.32,-0.67
"Q9Y4W6;Q8TA92","","+","+",-0.15,-0.67,-0.82
"Q63HM1-2;Q63HM1;E7EMT3;B8ZZB1;B8ZZ62;F8WB15;B8ZZP1","","+","+",0.1,-1.38,-1.29
"Q6ULP2;Q6ULP2-4;Q6ULP2-2;Q6ULP2-5;Q6ULP2-3;B8ZZI9","","+","",0.39,-0.65,-0.26
"O95081;O95081-2","","+","",0.09,-0.8,-0.71
"P35573;P35573-3;P35573-2","","","+",-0.04,-0.48,-0.52
"O15120;O15120-2","","","+",0.8,1.02,1.82
"O95994;B5MC07;C9J3E2","","+","+",-0.45,-1.61,-2.06
"Q8TD06;B5MC62","","+","+",-0.96,-2.34,-3.3
"Q8IUZ5","+","","+",-1.04,-0.7,-1.75
"Q8WYP5-2;Q8WYP5","+","","+",1.53,-0.48,1.05
"P23526","","+","+",-0.19,1.31,1.12
"Q96HN2;Q96HN2-2;H0Y8B3;D7UEQ7;B4DIZ5;D9N155","+","+","+",-0.86,-0.49,-1.35
"Q09666","","+","+",0.3,-1.69,-1.4
"O95433;B4DUR9;H0YJG7;G3V438","","","+",0.14,0.45,0.59
"F5H0Q5;P02765;C9JV77","+","","",-1,0.91,-0.1
"P55008;Q5STX8","","+","+",-0.55,-1.41,-1.95
"Q9Y4K1","+","","",1.04,-0.38,0.66
"Q12904-2;Q12904;B4DNK3","+","","+",0.37,0.03,0.4
"O00170;E9PPD7;E9PMH2","+","","+",0.64,0.12,0.76
"Q92667;Q92667-2","+","","",0.43,0.12,0.55
"Q02952;Q02952-2;Q02952-3","+","","+",-1.93,-0.53,-2.46
"Q12802-2;Q12802;Q12802-4;H0Y4V5;H0YMW2","+","+","",0.51,-0.8,-0.3
"Q02040;Q02040-3;Q02040-2","+","","",1.09,-0.1,0.99
"P24588","","+","+",-0.75,-1.84,-2.59
"O43687;O43687-2","","","+",-0.71,-1.77,-2.48
"Q9ULX6","","","+",0.77,0.58,1.35
"Q99996-6;Q99996;Q99996-2;Q99996-3;F5H3X5;Q99996-5","+","+","",1.44,-1.5,-0.06
