Accession.No.,Gene.Symbol,UniProt,Log2.I.N,Log2.II.N
IPI00453476,-,NA,NA,1.06
IPI00784998,-,NA,NA,-1.19
IPI00743092,-,NA,NA,3.95
IPI00022895,A1BG,Q8IYJ6;Q68CK0;Q96P39;Q7Z3U3;P04217,NA,-1.09
IPI00478003,A2M,Q13677;Q9BQ22;Q6PN97;Q6PIY3;Q68DN2;Q59F47;P01023;Q5QTS0,NA,1.26
IPI00027442,AARS,P49588;Q53GV7;A6NF14;Q96FA0,NA,3.14
IPI00028031,ACADVL,Q8WUL0;P49748;O76056;Q53HR2,NA,1.32
IPI00030363,ACAT1,P24752;B2R6H1;Q96FG8,NA,-1.4
IPI00021290,ACLY,P53396;Q8N9C4;Q4LE36;Q9BRL0;Q13037,NA,4.6
IPI00017855,ACO2,Q6FHX0;Q71UF1;Q8TAQ6;Q99798;Q5JZ41;O75809,-2.23,NA
IPI00010415,ACOT7,O43703;Q53Y78;Q5JYL3;A8K232;Q5JYL4;Q5TGR4;A8K0K7;Q5JYL2;Q5JYL5;Q5JYL6;Q9Y540;Q9UJM9;A8K6B8;A8K837;Q9Y539;O00154,NA,2.39
IPI00008603,ACTA2,P62736;P04108;P03996;Q13707;B2R8A4;Q5T9N7;Q6FI19,NA,-1.41
IPI00021439,ACTB,P70514;Q9UMN3;Q9UE89;Q1KLZ0;P60709;Q53G99;Q64316;Q11211;Q53G76;Q96HG5;Q562S0;P02570;Q75MN2;Q96B34;Q53GK6;P99021;Q562L3,NA,0.95
IPI00013508,ACTN1,P12814;Q1HE25;Q9BTN1;Q86TX4;Q5ZEZ4;B3V8S3,NA,2.46
IPI00013808,ACTN4,O76048;Q96BG6;O43707,1.14,2.63
IPI00028091,ACTR3,Q53QM2;P61158;Q59FV6;P32391,NA,2.37
IPI00473031,ADH1B,Q4ZGI9;Q6LBW4;Q71V49;Q17R68;Q6NWV0;Q13711;P07327;P00326;Q5WRV0;P00325;A8K3E3;Q6NZA7;Q4PJ18;Q96KI7,NA,-4.62
IPI00465343,ADH1C,Q4ZGI9;Q6LBW4;Q71V49;Q17R68;Q6NWV0;Q13711;P07327;P00326;Q5WRV0;P00325;A8K3E3;Q6NZA7;Q4PJ18;Q96KI7,-2.27,-5.76
IPI00746777,ADH5,Q6IRT1;Q5U043;Q2VIM7;Q6FI45;P11766;Q6FHR2,NA,-1.9
IPI00007427,AGR2,O95994;Q4JM46;Q4JM47;Q53G64,NA,-0.51
IPI00012007,AHCY,A8K307;Q96A36;B3KUN3;P23526;Q1RMG2,3.28,2.75
IPI00000690,AIFM1,B3KQS0;A4QPB4;Q1L6K4;Q5T1T4;Q5RZA0;Q1L6K6;O95831;Q96H50;Q9Y3I3;Q6I9X6;Q9Y3I4;B1ALN1;O95881;Q2QKE4;B2RB08;Q5JUZ7;Q5RZ99,2.05,NA
IPI00105407,AKR1B10,Q8IWZ1;Q6FHF3;A4D1P1;O60218;O75890;C9J3V2,NA,-5.77
IPI00291483,AKR1C3,Q99530;Q2XPP3;Q9UKL9;Q5T2L1;Q96KI8;Q9UII3;Q96DJ1;P42330;Q9UCX1;A8K2V0,NA,1.54
IPI00293721,AKR7A3,Q8TAX1;Q9NUC3;Q86SR4;O95154;Q8IVN6;Q8N5V6,NA,1.43
IPI00745872,ALB,Q13140;Q56G89;Q68DN5;P02768;O95574;Q645G4;Q9UJZ0;Q9P1I7;Q9UHS3;Q9P157;Q16167;P04277;Q6UXK4;Q8IUK7;Q86YG0,-0.81,-0.89
IPI00008982,ALDH18A1,Q9UM72;B7Z350;B7ZLP1;O95952;P54886;B2R5Q4;Q5T567;Q3KQU2;B7Z5X8;Q5T566,NA,3.5
IPI00218914,ALDH1A1,Q5SYR1;Q5SYQ9;P00352;Q5SYQ7;Q5SYQ8;O00768;Q59EJ0,-2.8,-1.53
IPI00479877,ALDH9A1,Q5VV90;P49189;B9EKV4;Q9NZT7;B2R6X1;Q6LCL1,-3.01,-1.88
IPI00465439,ALDOA,Q6FH76;P04075;B4DXI7;Q6FI10;Q96B15;Q9UCN2;Q9BWD9,1.56,1.53
IPI00218407,ALDOB,P05062;Q13742;Q5T7D6;Q13741;Q8NHT3,NA,-2.07
IPI00007423,ANP32B,P78459;P78458;B2R9C7;Q5T6W8;Q53F35;Q92688;O00655,2.19,NA
IPI00024095,ANXA3,P12429;B2R9W6;Q6LET2;Q59EE3,3.67,3.68
IPI00002459,ANXA6,Q6ZP35;Q6ZT79;A6NN80;P08133,-0.64,-0.28
IPI00002460,ANXA7,Q5T0M6;Q5T0M7;Q5F2H3;Q53HM8;P20073;B2R657,0.95,NA
IPI00022391,APCS,P02743,NA,-2.62
IPI00337741,APEH,Q9P0Y2;Q9BQ33;P13798,NA,1.88
IPI00021841,APOA1,Q6Q785;A8K866;Q9UCS8;Q9UCT8;Q8TDB0;Q9Y355;Q6LEJ8;Q6LDN9;P02647,NA,-1.01
IPI00168479,APOA1BP,Q5T3I3;Q8NCW5;Q5T3I2;Q496C6;B4DGY3;Q6PGN4,NA,3.04
IPI00304273,APOA4,A8MSL6;Q6Q787;Q13784;P06727;Q14CW8,NA,-4.46
IPI00220007,APOL2,NA,NA,7.14
IPI00215918,ARF4,B2R7J7;P18085;P21371,NA,3.73
IPI00215919,ARF5,P26437;P84085;A4D0Z3,NA,5.67
IPI00020567,ARHGAP1,Q07960,NA,2.19
IPI00003815,ARHGDIA,B2R5X1;P52565;Q6IBM5,NA,1.95
IPI00003327,ARL3,Q5JSM2;P36405;B2R6C7;Q53X83,NA,1.41
IPI00005160,ARPC1B,A4D275;O15143;Q9BU00,NA,1.41
IPI00005161,ARPC2,Q92801;Q9BXV5;O15144;Q9P1D4;Q53R19,NA,1.51
IPI00005162,ARPC3,O15145;O00554;Q2LE71,NA,3.19
IPI00554811,ARPC4,NA,NA,2.25
IPI00013466,ASNA1,A8K740;A6NHP8;O43681;Q92849;Q53FC6,NA,1.34
