gene.name,uniprot,induced_acute,induced_prolonged,repressed_acute,repressed_prolonged
BHLHB2,O14503,TRUE,FALSE,FALSE,FALSE
MXI1,P50539,TRUE,TRUE,FALSE,FALSE
PBX2,P40425,TRUE,FALSE,FALSE,FALSE
CTNNBIP1,Q9NSA3,TRUE,FALSE,FALSE,FALSE
AK3,Q9UIJ7,TRUE,FALSE,FALSE,FALSE
ZBTB1,Q9Y2K1,TRUE,TRUE,FALSE,FALSE
NFAT5,O94916,TRUE,FALSE,FALSE,FALSE
CITED2,Q99967,TRUE,FALSE,FALSE,FALSE
TEAD3,Q99594,TRUE,TRUE,FALSE,FALSE
ZNF292,O60281,TRUE,TRUE,FALSE,FALSE
JMJD2B,O94953,TRUE,TRUE,FALSE,FALSE
MFHAS1,Q9Y4C4,TRUE,FALSE,FALSE,FALSE
HIPK2,Q9H2X6,TRUE,FALSE,FALSE,FALSE
C6ORF111,Q8TF01,TRUE,FALSE,FALSE,FALSE
SPTBN1,Q01082,TRUE,FALSE,FALSE,FALSE
TLE3,Q04726,TRUE,FALSE,FALSE,FALSE
PBF,Q9H8N7,TRUE,TRUE,FALSE,FALSE
RRBP1,Q9P2E9,TRUE,TRUE,FALSE,FALSE
KIF13B,Q9NQT8,TRUE,TRUE,FALSE,FALSE
IGF1R,P08069,TRUE,TRUE,FALSE,FALSE
STC1,P52823,TRUE,TRUE,FALSE,FALSE
SNX27,Q96L92,TRUE,FALSE,FALSE,FALSE
MKNK2,Q9HBH9,TRUE,FALSE,FALSE,FALSE
ASB3,Q9Y575,TRUE,FALSE,FALSE,FALSE
TPR,P12270,TRUE,FALSE,FALSE,FALSE
RYBP,Q8N488,FALSE,TRUE,FALSE,FALSE
EGFR,P00533,FALSE,TRUE,FALSE,FALSE
WASPIP,O43516,FALSE,TRUE,FALSE,FALSE
ENO3,P13929,FALSE,TRUE,FALSE,FALSE
GAD1,Q99259,FALSE,TRUE,FALSE,FALSE
DUSP6,Q16828,FALSE,TRUE,FALSE,FALSE
PRB1,P04280,FALSE,TRUE,FALSE,FALSE
RUNX1,Q01196,FALSE,TRUE,FALSE,FALSE
TTBK2,Q6IQ55,FALSE,TRUE,FALSE,FALSE
SFPQ,P23246,FALSE,TRUE,FALSE,TRUE
NTRK3,Q16288,FALSE,TRUE,FALSE,FALSE
LZTS1,Q9Y250,FALSE,TRUE,FALSE,FALSE
FBXL3A,Q9UKT7,FALSE,TRUE,FALSE,FALSE
STAT2,P52630,FALSE,TRUE,FALSE,FALSE
PYGB,P11216,FALSE,TRUE,FALSE,FALSE
KIAA1238,Q9ULI2,FALSE,TRUE,FALSE,FALSE
PURG,Q9UJV8,FALSE,TRUE,FALSE,FALSE
PTP9Q22,A2A3K4,FALSE,TRUE,FALSE,FALSE
C6ORF130,Q9Y530,FALSE,TRUE,FALSE,FALSE
SNX17,Q15036,FALSE,FALSE,TRUE,FALSE
LDLR,P01130,FALSE,FALSE,TRUE,TRUE
SEC23A,Q15436,FALSE,FALSE,TRUE,FALSE
SNX4,O95219,FALSE,FALSE,TRUE,FALSE
HPCAL1,P37235,FALSE,FALSE,TRUE,FALSE
EXOC7,Q9UPT5,FALSE,FALSE,TRUE,FALSE
PICALM,Q13492,FALSE,FALSE,TRUE,TRUE
SEC15L1,Q8TAG9,FALSE,FALSE,TRUE,FALSE
M11S1,Q14444,FALSE,FALSE,TRUE,TRUE
HSPD1,P10809,FALSE,FALSE,TRUE,TRUE
