"Uniprot accession","Gene name","Uniprot.new","Ratio (H/L)"
"Q6NVY1","HIBCH",,0.5
"P04114","APOB",,0.06
"P00505","GOT2",,0.58
"P13995","MTHFD2",,0.47
"P31327","CPS1",,0.59
"P50416","CPT1A",,0.46
"Q99715","COL12A1",,0.32
"Q07021","C1QBP",,0.6
"Q5JTJ3","C1orf31",,0.6
"O60313","OPA1",,0.56
"P13804","ETFA",,0.59
"P02792","FTL",,0.55
"Q12931","TRAP1",,0.55
"Q6YN16","HSDL2",,0.59
"P50213","IDH3A",,0.57
"P42704","LRPPRC",,0.58
"Q5HYG7","ACADM",,0.57
"Q8N183","NDUFAF2",,0.58
"Q9Y3D7","TIMM16",,0.6
"O14925","TIMM23",,0.56
"Q53G69","TIMM44",,0.6
"Q3ZCQ8","TIMM50",,0.46
"Q9NS69","TOMM22",,0.5
"O96008","TOMM40",,0.55
"Q9BYD6","MRPL1",,0.6
"Q9Y3B7","MRPL11",,0.52
"Q9BYD1","MRPL13",,0.51
"Q9NRX2","MRPL17",,0.46
"Q7Z2W9","MRPL21",,0.52
"Q9NWU5","MRPL22",,0.48
"Q8IXM3","MRPL41",,0.5
"Q8N983","MRPL43",,0.51
"Q13405","MRPL49",,0.47
"Q8N5N7","MRPL50",,0.52
"Q9BYD2","MRPL9",,0.5
"Q9Y3D9","MRPS23",,0.54
"Q53G62","MRPS28",,0.52
"P51398","DAP3",,0.49
"P82930","MRPS34",,0.58
"Q9Y2R9","MRPS7",,0.41
"O75439","PMPCB",,0.48
"P30405","PPIF",,0.5
"Q8WUK0","PTPMT1",,0.58
"Q9Y2S7","POLDIP2",,0.55
"Q9H7Z7","PTGES2",,0.54
"Q8IWE2","FAM114A1",,0.33
"Q969Z0","TBRG4",,0.58
"Q7L2E3","DHX30",,0.55
"P08559","PDHA1",,0.57
"Q13501","SQSTM1",,0.45
"Q9GZT3","SLIRP",,0.55
"Q9NX18","SDHAF2",,0.5
"Q9H061","TMEM126A",,0.54
"Q96IX5","USMG5",,0.6
"Q9BV57","ADI1",,1.67
"Q04446","GBE1",,2.4
"P21589","NT5E",,3.47
"Q01813","PFKP",,1.78
"P17858","PFKL",,2.27
"P27144","AK4",,3.15
"P06733","ENO1",,1.81
"Q9H8Y5","ANKZF1",,3.19
"P13928","ANXA8L2",,1.76
"P14868","DARS",,1.62
"Q9NP58","ABCB6",,1.76
"Q3ZAQ6","ATG9A","Q7Z3C6",1.93
"Q16790","CA9",,17.6
"Q6YHK3","CD109",,1.53
"P08962","CD63",,1.74
"P29373","CRABP2",,2.58
"Q5SQ17","CLIC3","O95833",1.64
"P20908","COL5A1",,1.6
"Q02388","COL7A1",,1.57
"P08572","COL4A2",,1.62
"Q16555","DPYSL2",,1.9
"Q12882","DPYD",,6.69
"Q9C0G6","DNAH6",,1.72
"Q8N3D4","EHBP1L1",,1.54
"Q96HE7","ERO1L",,3.13
"P02751","FN1",,4.84
"Q6MZW2","FSTL4",,1.6
"P04075","ALDOA",,2
"P09972","ALDOC",,2.78
"P09104","ENO2",,3.94
"P06744","GPI",,2.46
"P13807","GYS1",,2.17
"P52789","HK2",,3.27
"P17301","ITGA2",,2.09
"P08648","ITGA5",,3.05
"P48735","IDH2",,1.67
"P00338","LDHA",,2.92
"Q8IWT6","LRRC8A",,1.75
"Q8NF37","LPCAT1",,2.49
"P14174","MIF",,1.93
"Q53G91","SLC16A3",,1.97
"P45877","PPIC",,1.68
"P36871","PGM1",,2.05
"P00558","PGK1",,3.48
"P07205","PGK2",,3.24
"P18669","PGAM1",,1.87
"Q9Y4D7","PLXND1",,1.9
"Q8NBJ5","GLT25D1",,1.63
"Q5JXB8","PLOD1",,2.8
"Q59ED2","PLOD2","O00469",6.39
"P13674","P4HA1",,5.3
"P07237","P4HB",,1.8
"O15460","P4HA2",,3.41
"Q96A26","FAM162A",,2.53
"Q92597","NDRG1",,11.51
"Q8IWE2","FAM114A1",,1.58
"P60903","S100A10",,2.23
"Q96FQ6","S100A16",,1.62
"P14618","PKM2",,1.79
"P10586","PTPRF",,1.54
"Q8WUF5","PPP1R13L",,1.59
"Q9H299","SH3BGRL3",,1.79
"Q59GX2","SLC2A1",,2.76
"P11169","SLC2A3",,5.08
"Q96QD8","SLC38A2",,1.94
"P52788","SMS",,1.55
"P21912","SDHB",,1.88
"Q569J5","SVIL",,1.68
"P04183","TK1",,1.67
"Q15582","TGFBI",,2.42
"Q53HE2","TPI1",,2.89
"Q71U36","TUBA1A",,1.91
"P08670","VIM",,1.54
