"Swiss-Prot accession no.",UniProt.new,"Mean fold H/N"
P06733,,1.68
P06733,,2.22
P06733,,2.29
P08559,,0
P14618,,2.61
P00338,,2.07
Q16851,,2.53
O43396,,0.32
O75947,,0.76
O76003,,0.57
O14530,,0.34
P30048,,0.7
Q16881,,1.55
P04040,,1.94
P57076,,1.59
P00390,,3.48
O60701,,1.95
37594464,Q9UKK9,0.68
P55263,,1.4
P12268,,0.58
P60891,,1.63
P04818,,1.63
P11172,,2.48
P12268,,1.89
Q15181,,0.56
16198390,Q9HC38,0.61
Q16762,,1.71
Q01105,,0.65
O75792,,0.62
P61978,,2.03
Q99729,,1.35
55665389,Q96DI7,1.72
P29692,,0.69
P06748,,0.7
P47813,,0.6
Q9BQA1,,0.58
Q13347,,0.67
P22061,,0.67
P15374,,0.6
P07339,,0.55
55587794,O75934,0.56
O00487,,0.55
O14579,,0.51
P55735,,0.66
Q99747,,0.61
P63104,,0
P63104,,0
P08567,,1.78
Q01518,,1.53
Q01518,,3.95
Q9Y2Z0,,0.63
Q6FI81,,0.66
Q92597,,2.11
P43490,,1.88
Q15084,,0.44
Q9HAV7,,0.43
P11142,,2.09
P11142,,4.45
Q9HAV7,,0
Q99832,,2.63
P50991,,2.81
P63261,,0.43
13569956,Q9BPX5,0.69
O75223,,0.69
,Q9BVC4,0.65
Q9UNZ2,,0.59
7706557,Q9NZ63,0.68
P31146,,0.45
