IPI,Gene.Symbol,UniProt,Isch.Ctrl,Reper60.Ctrl,Reper120.Ctrl
IPI:IPI00454049.4,Echs1,Q8BH95,0.68,0.7,0.59
IPI:IPI00119114.2,Acadl,P51174,0.71,0.71,1.96
IPI:IPI00134961.1,Acadm,P45952,0.72,0.72,0.95
IPI:IPI00121105.2,Hadh,Q61425,0.81,0.81,0.79
IPI:IPI00114866.1,Mlycd,Q99J39,0.87,0.83,0.82
IPI:IPI00130804.1,Ech1,O35459,0.91,0.94,1.86
IPI:IPI00113347.3,Crat,P47934,0.93,0.89,0.7
IPI:IPI00881401.1,Cpt2,P52825,0.96,0.9,0.71
IPI:IPI00115607.3,Hadhb,Q99JY0,1.22,1.22,0.75
IPI:IPI00223092.5,Hadha,Q8BMS1,1.28,1.22,0.76
IPI:IPI00136563.4,Cpt1b,Q924X3,1.35,1.34,0.84
IPI:IPI00112549.1,Acsl1,P41216,1.48,1.41,0.88
IPI:IPI00119203.4,Acadvl,P50544,1.93,1.89,1.19
IPI:IPI00228633.7,Gpi1,P06745,0.65,0.67,0.95
IPI:IPI00230706.5,Pgam2,Q5NCI4,0.65,0.65,1.73
IPI:IPI00845840.1,Pkm2,P52480,0.67,0.69,1.35
IPI:IPI00132042.1,Pdhb,Q9D051,0.68,0.62,0.5
IPI:IPI00626237.2,Ogdh,Q60597,0.69,0.67,0.75
IPI:IPI00337893.2,Pdha1,Q3UFJ3,0.71,0.69,0.53
IPI:IPI00467833.5,Tpi1,P17751,0.76,0.7,1.5
IPI:IPI00331541.5,Pfkm,P47857,0.77,0.79,0.91
IPI:IPI00555069.3,Pgk1,P09411,0.8,0.73,0.7
IPI:IPI00462072.3,LOC100044223;EG433182;Eno1,Q8CF78,0.81,0.82,1.16
IPI:IPI00153660.4,Dlat,Q8BMF4,0.81,0.8,0.74
IPI:IPI00283611.1,Hk1,P17710,1.38,1.3,1.36
IPI:IPI00318614.9,Idh2,P54071,0.58,0.63,0.47
IPI:IPI00336324.11,Mdh1,P14152,0.6,0.6,1.23
IPI:IPI00113141.1,Cs,Q0QEL9,0.66,0.63,0.58
