"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
A0AVT1;A0AVT1-2;H0Y8S8;A0AVT1-3;A0AVT1-4,MOP4;UBA6;UBE1L2,-0.84,0.00122,NA,NA
A1L0T0;E9PJS0;C9JNI8;E9PL44;E9PNL1,AHAS;ILVBL,-1.74,0.000933,-2.35,2.08E-05
A3KMH1;A3KMH1-3;E2QRD0;A3KMH1-2;A8MYW7,KIAA0564,NA,NA,0.94,0.000201
A3KN83;A3KN83-2;A3KN83-3;A3KN83-4;F8W8H8;Q9Y2G9;Q9Y2G9-3,MOP3;SBNO1;KIAA0963;SBNO2,6.58,1.12E-05,6.62,4.74E-06
A6NDB9,PALM3,-8.98,6.95E-05,NA,NA
A6NDG6,PGP,-0.92,0.000337,-1.08,0.0027
A6NDY9;F8WE98,FLNA,NA,NA,-10,0.000307
A8MUT5;O60832;O60832-2;C9IYT0,DKC1;NOLA4,1.6,0.00398,1.62,0.000358
A8MUW5;Q52LJ0;H0YNA1,FAM98B,0.31,0.00407,0.61,0.00126
A8MXP9;P43243;D6REM6;D6R991;H0Y8T4;B3KM87;Q68E03;D6RIA2;D6RE02;D6RBK5;D6RBI2;D6R8Z5;D6REK4;D6RCM3;D6RAY2;D6RAM9;D6RBS2;D6R9F3;D6RB45,MATR3;KIAA0723,1.08,9.47E-05,1.2,6.74E-05
A8MYX1;Q5BKZ1;B4E179;Q5BKZ1-2,ZNF326,NA,NA,10.36,2.7E-06
B1AHD1;P55769,CTA-216E10.8-008;NHP2L1,NA,NA,2.57,0.000131
B1AP13;P08174-2;Q14UF6;Q14UF4;P08174;E9PSH2;Q14UF5;B1AP15;F5H2H0,CD55;RP11-357P18.1-003;DAF;CR;hCG_22206;RP11-357P18.1-002,NA,NA,-0.97,0.00658
B3KTC7;P49959;F8W7U8;P49959-2;F5GXT0;F5H256;F5H742,HNGS1;MRE11;MRE11A,NA,NA,10.83,2.28E-06
B4DR52;B4DLA9;O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880;Q96A08,H2BFT;HIRIP1;HIST1H2BK;H2BFS;H2BFB;HIRIP2;HIST1H2BD;H2BFA;H2BFG;H2BFH;H2BFK;H2BFL;HIST1H2BC;HIST1H2BE;HIST1H2BF;HIST1H2BG;HIST1H2BI;HIST2H2BF;H2BFJ;HIST1H2BH;H2BFD;HIST1H2BN;H2BFE;HIST1H2BM;H2BFC;HIST1H2BL,NA,NA,1.22,0.0029
B4DR87;Q02809;E7EWK8;Q5JXB7;Q5JXB8;Q5JXB9,LLH;PLOD;PLOD1,-1.52,0.00372,-1.66,0.00166
B4DT31;Q96AE4;E9PEB5,FUBP1,0.7,0.00051,0.79,0.00062
B4DYX9;P18615;E9PCL7;B4DUN1;A2ABK1;A2ABK2;E9PD43;A2ABK3;A2ABK4;E7EWR7;E7ENC7,NELFE;RD;RDBP;DADB-122G4.4-007;DAMC-178C20.5-007;DAQB-331I12.3-007;DASS-107J21.4-007;XXbac-BCX116I9.1-007;XXbac-BPG116M5.4-007;DADB-122G4.4-011;DAMC-178C20.5-011;DAQB-331I12.3-011;DASS-107J21.4-011;XXbac-BCX116I9.1-011;XXbac-BPG116M5.4-011,0.73,0.00317,NA,NA
B5MC40;Q86YP4;Q86YP4-2;B4DKZ7;F5H7D9;C9JJK9;C9JHD7;C9JGN4;C9JMI3;C9JVY3,GATAD2A,NA,NA,0.79,0.00484
B5MDU6;Q9H6V9-2;Q9H6V9;B7ZAJ5;B5MCU4;B7ZA47;B4DRG3;C9JUM0;B5MCE2;C9JHU6,C2orf43,8.07,1.58E-05,7.57,1.55E-07
B5TJY2;Q96AC1;H0YJ34;Q96AC1-2;H0YJB6;Q9BQL6;F8W9F0;Q9BQL6-2;Q9BQL6-4;G3V1L6;G3V3J0,FERMT2;KIND2;MIG2;PLEKHC1,-9.08,5.93E-05,-8.83,4.2E-05
B7WPD3;Q15370;B8ZZU8,hCG_1778969;TCEB2,-0.71,0.0051,NA,NA
B7Z4Q3;Q9Y383-2;B7Z500;C9JWT3;B8ZZ09,,NA,NA,0.32,0.00933
B7Z5W1;Q9Y624;B7Z941,F11R;JAM1;JCAM;UNQ264/PRO301,10.3,4.68E-06,NA,NA
B7ZKL3;Q9H6S3;Q9H6S3-2;H0YF37;H0YD62;E9PLH1;E9PNT0;E9PLN2;E9PN68,EPS8L2;EPS8R2;PP13181,NA,NA,-1.12,0.00905
B7ZKU0;B7ZKU2;Q17RM7;Q7Z589;B7ZKT8;E9PMC9;F5H2F0;Q7Z589-2;H0YET8;E9PPE6;Q7Z589-3,C11orf30;hCG_2018629;EMSY;GL002,NA,NA,1.54,0.000768
C9JA08;Q96D46;F5GYG3;B4DKU1;C9J0B9;C9K0C2;C9IZW9;C9IY70,NMD3;CGI-07,NA,NA,-0.91,0.00174
C9JDN2;Q6ISB3;Q6ISB3-2,GRHL2;BOM;TFCP2L3,0.8,0.00333,0.94,0.000799
C9JIU8;O00584;D6RHI9;D6REQ6;H0YAE9;E7ET60;Q5TCT1;O00584-2,RNASET2;RNASE6PL,NA,NA,-1.52,0.00601
C9JS35;Q92890-1;Q92890;A6NJ11;A8MW31;C9IZG3;C9JNP9;C9J6N9,UFD1L,-0.71,0.000143,-0.67,0.00013
E5KLJ5;O60313-2;E5KLJ6;O60313;E5KLJ9;E5KLK1;C9JMB8;C9JY58;A8MXB6,KIAA0567;OPA1,NA,NA,0.67,0.00277
E5RJD8;O75347;E5RIW3;B4DT30;E5RIX8;E5RHG6,TBCA,-1.23,0.00155,-1.58,0.000681
E7EMK3;Q14254;E7EMK1,ESA1;FLOT2;M17S1,NA,NA,1.42,0.000993
E7ENH9;P53396;P53396-2;B4E3P0,ACLY,-0.74,0.00457,-0.97,0.00159
E7ENU4;P55265-4;P55265;P55265-5,ADAR;ADAR1;DSRAD;G1P1;IFI4,0.57,0.00503,NA,NA
E7EPT4;P19404,NDUFV2,NA,NA,0.8,0.00675
E7EQ40;B1AK88;P47756-2;B1AK87;P47756;B1AK85;F6USW4;F6Q0E3,CAPZB;hCG_41078;RP4-657E11.7-008;RP4-657E11.7-001;RP4-657E11.7-002,-0.78,0.00496,-0.73,0.00172
E7ESZ7;C9JGP9;O95299;Q8WXC9;C9J6X0;Q8N1B9,NDUFA10,NA,NA,0.56,0.00864
E7EUC7;C9JKD6;Q16851;Q16851-2;C9JNZ1;C9JQU9;C9JVG3;C9K0U9;C9JWG0;C9JUW1;C9JTZ5;C9JVV7;F2Z3H1;C9J6Q0,UGP2;UGP1,-0.73,8.74E-05,-0.77,0.00111
E7EWS7;P68036;B4DDG1,UBCE7;UBCH7;UBE2L3,NA,NA,-0.78,0.00013
E7EX90;E9PGE1;E9PFS5;G5E9H4;Q14203;A8MY36;A8MWX9;E7EUR0;Q14203-2;Q6AWB1,DCTN1,NA,NA,-0.84,0.00421
E9PB61;Q86V81,ALY;BEF;THOC4,NA,NA,1.36,0.00847
E9PBB5;Q07654,ITF;TFF3;TFI,-11.06,0.000439,-11.14,0.000296
E9PBJ0;Q9HC84;F5H4M9,MUC5;MUC5B,-10.55,1.85E-05,-11.89,3.4E-06
E9PCT1;A9Z1X7;Q8IYB3;Q8IYB3-2;B4DED5,RP11-373M8.1-002;SRRM1;SRM160,1.57,0.0016,1.89,6.96E-05
E9PFK1;Q9H4A5;F5H4M3;Q5T5I6,GOLPH3L;GPP34R;RP11-54A4.7-002,NA,NA,-9.51,5.33E-05
E9PG89;Q12873;Q12873-2,CHD3,NA,NA,11.41,4.98E-05
E9PHK9;Q13428-4;Q13428-3;E7ETY2;Q13428;Q13428-7;Q13428-6;Q13428-8;Q13428-2;Q13428-5;H0YA99,TCOF1,NA,NA,1.24,0.00525
E9PI62;Q9BT17;E7EVK2;Q9BT17-2;B3KWF9,GTPBP7;MTG1,8.41,0.000298,7.26,0.000983
E9PQG7;Q03164;Q03164-2;E9PR05;Q9Y6P1,ALL1;CXXC7;HRX;HTRX;KMT2A;MLL;MLL1;TRX1,NA,NA,1.57,0.00254
E9PRY8;P29692-2;P29692;E9PK01;H0YCK7;E9PI39;E9PQ49;E9PL12;E9PPR1;E9PIZ1;E9PMW7,EEF1D;EF1D,-0.72,0.0023,-0.77,0.00246
F2Z2J9;P18669;E7EMA8;Q8N0Y7;P15259,CDABP0006;PGAM1;PGAMA,NA,NA,-1.69,0.00272
F5H0X5;Q9HBD4;P51532;B1A8Z5;B1A8Z6;B1A8Z7;B1A8Z4,hCG_29955;SMARCA4;BAF190A;BRG1;SNF2B;SNF2L4,NA,NA,1.11,0.00592
F5H1X8;P50851-2;P50851;E9PEM5;H0YAC6;B7Z2H9;B7Z4S7;H0YA17;H0Y9N9,BGL;CDC4L;LBA;LRBA,NA,NA,-0.48,0.00929
F5H2S7;Q13561-2;Q13561-3;Q13561;F8WAG8;F5H223;A8K8J9;F8W1I6;F8VW18;H0YI98;F8VRV7;F8VX93;H0YHL1;F8W0U6;F8VZD2,DCTN2;DCTN50;hCG_2016464,-1,0.00115,-1.1,0.000606
F5H6I0;P61769;H0YLF3,B2M;CDABP0092;HDCMA22P,NA,NA,-1.69,0.00805
