"Accession","Entry","median.115.114","median.116.114","median.117.114"
"LPPRC_HUMAN","P42704",1.04,0.97,1.35
"1433E_HUMAN","P62258",1.17,1.12,1.56
"1433G_HUMAN","P61981",1.11,1.17,1.5
"1433T_HUMAN","P27348",1.01,1.13,1.31
"1433Z_HUMAN","P63104",1.03,1.15,1.31
"SEP15_HUMAN","O60613",0.94,0.81,0.56
"OXRP_HUMAN","Q9Y4L1",1.11,1.28,1.56
"PCAT1_HUMAN","Q8NF37",1.25,1.32,1.27
"PRS8_HUMAN","P62195",1.27,1.15,1.76
"RM11_HUMAN","Q9Y3B7",0.78,0.95,0.74
"RM17_HUMAN","Q9NRX2",1.21,0.83,0.63
"THIM_HUMAN","P42765",1.32,1.55,1.23
"THIK_HUMAN","P09110",1.27,1.37,1.76
"RS11_HUMAN","P62280",0.87,0.63,0.5
"RS14_HUMAN","P62263",1.01,1.13,1.35
"RS15_HUMAN","P62841",0.69,0.55,0.65
"RS15A_HUMAN","P62244",1.17,1.22,1.56
"RS17_HUMAN","P08708",0.81,0.84,0.72
"RS29_HUMAN","P62273",0.61,0.57,0.51
"RS3_HUMAN","P23396",1.01,1.22,1.45
"RS6_HUMAN","P62753",0.91,0.73,0.65
"RS9_HUMAN","P46781",1.06,1.2,1.35
"RLA0_HUMAN","P05388",1.19,1.27,1.62
"RLA2_HUMAN","P05387",1.03,1.11,1.31
"RL10_HUMAN","P27635",1.08,1.2,1.31
"RL10A_HUMAN","P62906",1.04,1.2,1.45
"RL13_HUMAN","P26373",0.76,0.89,0.75
"RL13A_HUMAN","P40429",1.13,1.23,1.4
"RL24_HUMAN","P83731",0.87,0.78,0.76
"RL27A_HUMAN","P46776",1.11,1.17,1.45
"RL29_HUMAN","P47914",0.81,0.65,0.56
"RL37_HUMAN","P61927",0.97,0.77,0.76
"RL38_HUMAN","P63173",0.74,0.56,0.48
"RL6_HUMAN","Q02878",1.15,1.17,1.31
"RL9_HUMAN","P32969",0.84,0.76,1.04
"GRP78_HUMAN","P11021",1.09,1.11,1.35
"DHCR7_HUMAN","Q9UBM7",1.06,1.65,1.62
"ABD12_HUMAN","Q8N2K0",1.08,0.97,1.31
"THIC_HUMAN","Q9BWD1",1.3,1.35,0.92
"ARP5L_HUMAN","Q9BPX5",0.97,0.53,0.71
"ADNP_HUMAN","Q9H2P0",1.15,1.5,1.5
"ACBP_HUMAN","P07108",1.13,0.93,0.72
"APT_HUMAN","P07741",1.23,1.23,1.45
"ADT2_HUMAN","P05141",1.08,1.09,1.69
