No.,"Swiss-prot No.","Protein name","Ratio (25mM/5.5mM)","P-value (25mM/5.5mM)","Ratio (100mM/5.5mM)","P-value (100mM/5.5mM)"
1433,P31946,"14-3-3 protein beta/alpha",1.19,0.069,1.51,0.0006
1307,Q7M4R4,"14-3-3 protein epsilon/14-3-3E",1.37,0.003,-1.2,0.015
1402,P61981,"14-3-3 protein gamma",1.33,0.0017,-1.13,0.019
1367,P61981,"14-3-3 protein gamma",1.3,0.0055,-1.2,0.0065
1365,Q6NUR9,"14-3-3 protein zeta/delta",1.4,0.0044,-1.17,0.014
262,P11021,"78 kDa glucose-regulated protein/GRP-78",-1.24,0.24,-1.95,0.0039
287,P11021,"78 kDa glucose-regulated protein/GRP-78",-1.53,7.8E-06,-1.69,0.0011
856,Q96HG5,"Actin, cytoplasmic 1",1.34,0.0078,1.63,0.00033
838,P63261,"Actin, cytoplasmic 2",1.59,0.01,1.75,0.0014
797,Q9H0C2,"ADP/ATP translocase 4",1.16,0.14,1.43,0.0048
1402,Q99996,"A-kinase anchor protein 9/AKAP-9",1.33,0.0017,-1.13,0.019
1130,P52895,"Aldo-keto reductase family 1 member C2",-1.22,0.089,-1.6,0.0024
1158,P15121,"Aldose reductase/AR",1.79,0.018,1.54,0.0034
1204,P15121,"Aldose reductase/AR",2.85,0.0003,1.77,0.002
1207,P15121,"Aldose reductase/AR",2.2,0.00015,1.78,0.00023
1214,P15121,"Aldose reductase/AR",1.99,0.0056,1.84,0.00067
1069,P51693,"Amyloid-like protein 1/APLP-1",1.86,0.0073,1.21,0.1
1687,Q86XL3,"Ankyrin repeat and LEM domain containing protein 2",1.15,0.16,1.51,0.0058
1348,Q86XL3,"Ankyrin repeat and LEM domain containing protein 2",1.82,0.0025,-1.05,0.2
311,P09525,"Annexin A4",-1.25,0.12,1.24,0.00099
1288,P08758,"Annexin A5",-1.63,0.039,-1.01,0.93
1115,P53004,"Biliverdin reductase A/BVR A",-1.06,0.68,-1.51,0.017
716,P07339,"Cathepsin D",1.29,0.11,1.61,0.0088
412,P08962,"CD63 antigen",-1.55,0.17,1.11,0.43
302,Q96ST8,"Centrosomal protein of 89 kDa",-1.68,0.0005,1.13,0.2
1194,Q96L14,"Cep170-like protein",1.49,0.025,1.86,0.0046
1628,Q14406,"Chorionic somatomammotropin hormone-like 1",1.48,0.012,1.09,0.41
1678,Q14406,"Chorionic somatomammotropin hormone-like 1",1.5,0.057,1.76,0.099
1673,P23528,Cofilin-1,2.14,5.3E-06,2.15,0.00044
59,Q9H2F9,"Coiled-coil domain-containing protein 68",1.31,0.3,1.68,0.0069
929,Q8IYJ1,Copine-9,1.83,0.00064,1.11,0.27
1867,P62937,"Cyclophilin A/Peptidyl-prolyl cis-trans isomerase A/PPIase A",1.5,0.0064,1.12,0.21
1571,Q96Q81,"Deoxyuridine 5′-triphosphate nucleotidohydrolase",1.42,0.4,1.42,0.051
1753,Q96Q81,"Deoxyuridine 5′-triphosphate nucleotidohydrolase, mitochondrial/dUTPase",-1.08,0.8,-1.69,0.049
442,Q5KSL6,"Diacylglycerol kinase kappa/DAG kinase kappa",-2.19,0.008,1.03,0.8
704,Q13115,"Dual specificity protein phosphatase 4",1.47,0.058,1.21,0.98
373,Q12805,"EGF-containing fibulin-like extracellular matrix protein 1",-1.65,0.13,1.23,0.25
1173,Q9NQ30,"Endothelial cell-specific molecule 1",1.7,0.15,-1.5,0.18
1969,Q587J8,"ES cell-associated transcript 1 protein",-1.47,0.51,1.17,0.47
34,A6NMX2,"Eukaryotic translation initiation factor 4E type 1B",2.8,NA,4.53,0.0019
1831,P63241,"Eukaryotic translation initiation factor 5A-1",-1.53,0.0046,-1.88,0.00034
1071,Q96CN4,"EVI5-like protein",1.26,0.17,2.11,0.00091
1216,P52907,"F-actin-capping protein subunit alpha-1",1.26,0.061,1.58,0.013
1648,O60258,"Fibroblast growth factor 17",1.48,0.012,1.09,0.41
36,P04075,"Fructose-bisphosphate aldolase A",1.87,0.006,3.02,0.00045
1090,P04075,"Fructose-bisphosphate aldolase A",1.6,0.00074,1.33,0.013
1004,P17931,Galectin-3,1.27,0.39,2.15,0.055
911,Q9NXN4,"Ganglioside-induced differentiationassociated protein 2",1.11,0.36,1.32,0.054
1455,P21266,"Glutathione S-transferase Mu 3/hGSTM3-3",1.1,0.43,-1.83,0.00028
1499,P09211,"Glutathione S-transferase P",1.72,0.00088,1.37,0.0017
446,O43390,"Heterogeneous nuclear ribonucleoprotein/hnRNP R",-2.09,0.00032,1.02,0.77
702,Q16576,"Histone-binding protein RBBP7",1.52,0.0072,1.3,0.012
863,A6NJ69,"IgA-inducing protein homolog",1.1,0.65,2.3,0.18
1257,P22692,"Insulin-like growth factor-binding protein 4/IBP-4",1.3,0.12,1.64,0.015
1261,Q16270,"Insulin-like growth factor-binding protein 7",1.71,0.026,1.67,0.0088
1200,Q16270,"Insulin-like growth factor-binding protein 7",1.51,0.0046,1.9,0.0044
452,Q14145,"Kelch-like ECH-associated protein 1",-2,NA,1.06,NA
1501,Q9NZU5,"LIM and cysteine-rich domains protein 1",1.42,0.00072,1.64,0.015
1261,P00338,"L-lactate dehydrogenase A chain/LDH-A",1.71,0.026,1.67,0.0088
1341,O00264,"Membrane-associated progesterone receptor component 1/MPR",1.57,0.004,1.36,0.012
207,Q96T33,Merlin,-1.98,0.0052,1.12,0.14
1489,Q5JR59,"Microtubule-associated tumor suppressor candidate 2",-1.88,4E-05,-1.1,0.00023
1547,Q9Y6H3,"Mitochondrial inner membrane protease ATP23 homolog",1.44,0.0022,-1.09,0.46
1226,Q9BWK5,"Modulator of retrovirus infection homolog",1.41,0.3,1.12,0.53
158,Q96EN8,"Molybdenum cofactor sulfurase",1.01,0.98,1.53,0.027
295,Q9UI09,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12",-1.59,0.0014,1.16,0.018
388,O43678,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2",-2.14,0.00081,1.04,0.63
1025,Q9UL56,"NADH-cytochrome b5 reductase 3/B5R",1.57,0.0045,1.04,0.66
1855,P13725,Oncostatin-M,-1.06,0.6,-1.45,0.018
376,Q01804,"OTU domain-containing protein 4",-1.44,0.0066,1.12,0.055
929,Q8TEW0,"Partitioning defective 3 homolog/PARD-3",1.83,0.00064,1.11,0.27
295,O95613,Pericentrin,-1.59,0.0014,1.16,0.018
1583,Q06830,Peroxiredoxin-1,1.85,3.3E-05,2.58,5.4E-07
1564,Q06830,Peroxiredoxin-1,1.5,0.027,1.09,0.56
1627,Q06830,Peroxiredoxin-1,1.67,0.041,1.45,0.076
1700,Q06830,Peroxiredoxin-1,1.75,0.019,1.93,0.0053
1467,P30041,Peroxiredoxin-6,-2.57,0.0002,-2.75,1.2E-05
1183,P30041,Peroxiredoxin-6,-1.2,0.04,-1.32,0.014
1273,P48739,"Phosphatidylinositol transfer protein beta isoform/PI-TP-beta",1.74,0.00091,1.37,0.0083
547,P00558,"Phosphoglycerate kinase 1",1.41,0.21,-1.29,0.3
44,Q9BTY2,"Plasma alpha-l-fucosidase",2.15,0.00051,3.51,0.00056
49,P13796,"Plastin-2/Lymphocyte cytosolic protein 2",2.85,NA,4.43,0.0045
68,Q9NSP6,"Polymerase delta-interacting protein 3",2.3,NA,3.24,0.015
512,Q9NS40,"Potassium voltage-gated channel subfamily H member 7",-1.37,0.019,1.22,0.033
1421,P02545,Prelamin-A/C,-1.51,0.024,-1.33,0.082
503,Q8IYL2,"Probable tRNA (uracil-O(2)-)-methyltransferase",-1.86,0.021,1.19,0.13
683,Q15113,"Procollagen C-endopeptidase enhancer 1/PCPE-1",1.15,0.23,1.59,0.00086
1048,Q06323,"Proteasome activator complex subunit 1",1.32,0.0094,1.16,0.013
233,P30101,"Protein disulfide-isomerase A3",-1.28,0.21,-1.47,0.052
404,A6NMY6,"Putative annexin A2-like protein",-1.71,0.12,1.11,0.23
303,Q16740,"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial",-1.53,0.017,1.05,0.52
297,Q16740,"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial",-1.65,0.027,1.12,0.27
518,Q69YJ1,"Putative pleckstrin homology domain containing family M member 1P",-2.1,0.0018,1.18,0.079
1288,Q96NR2,"Putative uncharacterized protein C20orf166-AS1",-1.63,0.039,-1.01,0.93
319,A8MTY0,"Putative zinc finger protein 724",-1.19,0.17,1.38,0.0093
772,Q9UQ19,"Rab GTPase-activating protein 1-like",1.08,0.81,1.32,0.0067
571,Q8WUD1,"Ras-related protein Rab-2B",-1.45,0.028,-1.01,0.98
1725,P10301,"Ras-related protein R-Ras",2.66,6.6E-05,1.49,0.0083
574,Q15293,Reticulocalbin-1,-1.53,0.0059,-1.4,0.017
58,P48443,"Retinoic acid receptor RXR-gamm",2.06,0.002,2.78,0.0019
933,P48443,"Retinoic acid receptor RXR-gamma",1.14,0.31,1.35,0.05
1177,Q52LW3,"Rho GTPase-activating protein 29",1.99,NA,1.56,0.0044
1216,Q13464,"Rho-associated protein kinase 1",1.26,0.061,1.58,0.013
952,P51812,"Ribosomal protein S6 kinase alpha-3/S6K-alpha-3",-1.65,0.018,-2,0.012
394,P30153,"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",-1.7,0.064,-1.1,0.38
949,P36952,"Serpin B5",-1.58,0.0047,-1.34,0.0055
966,O15020,"Spectrin beta chain",-1.36,0.035,-1.1,0.43
422,Q14683,"Structural maintenance of chromosomes protein 1A/SMC-1A",-2.16,0.00063,1.06,0.52
1415,Q14683,"Structural maintenance of chromosomes protein 1A/SMC-1A",-1.6,0.062,1.04,0.8
1684,O00560,Syntenin-1,2.26,0.015,2.02,0.012
460,P48643,"T-complex protein 1 subunit epsilon/TCP-1-epsilon",-1.58,0.0063,-1.2,0.12
430,Q8NFZ5,"TNFAIP3-interacting protein 2/Abin 2",-2.07,0.0047,1.17,0.14
436,Q8NFZ5,"TNFAIP3-interacting protein 2/Abin 2",-2.24,0.00068,1.07,0.16
407,Q8NFZ5,"TNFAIP3-interacting protein 2/Abin 2",-1.85,0.0028,1.19,0.045
1103,P37837,Transaldolase,-1.1,0.39,-1.58,0.014
1611,P13693,"Translationally-controlled tumor protein/TCTP",-1.13,0.033,-1.52,0.00051
1110,B4DJY2,"Transmembrane protein 233",-1.4,0.18,1.2,0.43
1219,P60174,"Triosephosphate isomerase",1.23,0.047,-1.21,0.21
1276,P06753,"Tropomyosin alpha-3 chain",1.5,0.027,-1.15,0.19
271,P23381,"Tryptophanyl-tRNA synthetase",-1.46,0.085,-1.41,0.005
587,Q9BQE3,"Tubulin alpha-1C chain",-1.14,0.36,1.35,0.047
1991,O00220,"Tumor necrosis factor receptor superfamily member 10A",1.54,0.019,2.18,0.00017
1867,Q15819,"Ubiquitin-conjugating enzyme E2 variant 2",1.5,0.0064,1.12,0.21
317,Q8N3R3,"Uncharacterized protein C3orf23",-1.32,0.057,1.28,0.013
433,Q8N4H0,"Uncharacterized protein C9orf68",-1.45,0.028,-1.32,0.05
848,Q8N850,Vimentin,2.62,0.00089,2.13,0.0011
301,Q9H4T2,"Zinc finger and SCAN domain containing protein 16",-1.49,0.027,1.19,0.038
308,Q9H4T2,"Zinc finger and SCAN domain containing protein 16",-1.62,0.04,1.08,0.42
299,Q9H4T2,"Zinc finger and SCAN domain containing protein 16",-1.65,4E-05,1.13,0.059
1088,Q8IZC7,"Zinc finger protein 101",1.38,0.036,-1.14,0.44
1216,Q2VY69,"Zinc finger protein 284",1.26,0.061,1.58,0.013
1027,Q6NSZ9,"Zinc finger protein 498",1.29,0.026,-1.27,0.32
1029,Q6NSZ9,"Zinc finger protein 498",1.81,0.00036,1.13,0.016
353,Q96JF6,"Zinc finger protein 594",-1.55,0.0012,1.19,0.023
1662,Q9P2J8,"Zinc finger protein 624",1.47,0.22,-1.48,0.38
1840,Q96BR6,"Zinc finger protein 669",2.1,0.0014,1.17,0.14
486,Q96BR6,"Zinc finger protein 669",-2,0.00039,1.13,0.066
297,P16415,"Zinc finger protein 823",-1.65,0.027,1.12,0.27
303,P16415,"Zinc finger protein 823",-1.53,0.017,1.05,0.52
309,P16415,"Zinc finger protein 823",-1.71,9.6E-05,1.16,0.049
