accession,Entry,normal,tumor
1433F_HUMAN,Q04917,2,0
AACT_HUMAN,P01011,2,0
ADT3_HUMAN,P12236,2,0
AINX_HUMAN,Q16352,2,0
APOC3_HUMAN,P02656,2,0
ASAP2_HUMAN,O43150,2,0
AT1A2_HUMAN,P50993,2,0
ATP5H_HUMAN,O75947,2,0
CADH1_HUMAN,P12830,2,0
CAPSD_HASV1,O12792,2,0
CAPSD_HASV3,Q9WFZ0,2,0
CAPSD_HASV5,Q4TWH7,2,0
CD44_HUMAN,P16070,2,0
CD81_HUMAN,P60033,2,0
CEL2A_HUMAN,P08217,2,0
CEL2B_HUMAN,P08218,2,0
CEL3B_HUMAN,P08861,2,0
COL_HUMAN,P04118,2,0
COX5A_HUMAN,P20674,2,0
CPNS1_HUMAN,P04632,2,0
CPSF1_HUMAN,Q10570,2,0
CTNA1_HUMAN,P35221,3,0
CTRB2_HUMAN,Q6GPI1,2,0
CUTA_HUMAN,O60888,2,0
CX6B1_HUMAN,P14854,2,0
CYB5_HUMAN,P00167,2,0
DESP_HUMAN,P15924,2,0
EEA1_HUMAN,Q15075,2,0
EF1B_HUMAN,P24534,2,0
ERP29_HUMAN,P30040,2,0
EWS_HUMAN,Q01844,2,0
F10A1_HUMAN,P50502,2,0
F10A4_HUMAN,Q8IZP2,2,0
FKBP2_HUMAN,P26885,2,0
FKBP3_HUMAN,Q00688,2,0
GDIR1_HUMAN,P52565,2,0
GLU2B_HUMAN,P14314,2,0
GP2_HUMAN,P55259,2,0
GSTA1_HUMAN,P08263,2,0
H11_HUMAN,Q02539,2,0
H2A1A_HUMAN,Q96QV6,2,0
H90B4_HUMAN,Q58FF6,2,0
HINT2_HUMAN,Q9BX68,2,0
HMGB2_HUMAN,P26583,2,0
HNRDL_HUMAN,O14979,2,0
HPT_HUMAN,P00738,2,0
HS905_HUMAN,Q58FG0,2,0
IF4G1_HUMAN,Q04637,2,0
IF4H_HUMAN,Q15056,2,0
INS_HUMAN,P01308,2,0
K1984_HUMAN,Q5T5S1,2,0
K22O_HUMAN,Q01546,2,0
K2C1B_HUMAN,Q7Z794,2,0
K2C3_HUMAN,P12035,2,0
K2C4_HUMAN,P19013,2,0
K2C6C_HUMAN,P48668,2,0
K2C71_HUMAN,Q3SY84,2,0
KI21B_HUMAN,O75037,2,0
KPYR_HUMAN,P30613,2,0
LAMB1_HUMAN,P07942,2,0
LEG1_HUMAN,P09382,2,0
LRC59_HUMAN,Q96AG4,2,0
LRRF1_HUMAN,Q32MZ4,2,0
MTPN_HUMAN,P58546,2,0
MYL6B_HUMAN,P14649,2,0
MYL9_HUMAN,P24844,3,0
NFH_HUMAN,P12036,2,0
NFM_HUMAN,P07197,2,0
NHRF1_HUMAN,O14745,2,0
NIN_HUMAN,Q8N4C6,2,0
NUCB2_HUMAN,P80303,2,0
NUCL_HUMAN,P19338,2,0
PAIRB_HUMAN,Q8NC51,2,0
PARK7_HUMAN,Q99497,2,0
PCBP3_HUMAN,P57721,2,0
PDIA4_HUMAN,P13667,3,0
PGRC2_HUMAN,O15173,2,0
PHP14_HUMAN,Q9NRX4,2,0
PLP2_HUMAN,Q04941,2,0
PSME1_HUMAN,Q06323,2,0
RANG_HUMAN,P43487,2,0
REG1A_HUMAN,P05451,2,0
RL10_HUMAN,P27635,2,0
RS12_HUMAN,P25398,2,0
RS25_HUMAN,P62851,2,0
RS28_HUMAN,P62857,2,0
RS2_HUMAN,P15880,2,0
RS3_HUMAN,P23396,2,0
RS6_HUMAN,P62753,2,0
S10A6_HUMAN,P06703,2,0
SAFB1_HUMAN,Q15424,2,0
SAFB2_HUMAN,Q14151,2,0
SARNP_HUMAN,P82979,2,0
SC31A_HUMAN,O94979,2,0
SKP1_HUMAN,P63208,2,0
SRBP1_HUMAN,P36956,2,0
STIP1_HUMAN,P31948,2,0
SYCN_HUMAN,Q0VAF6,2,0
TB182_HUMAN,Q9C0C2,2,0
TBB8B_HUMAN,A6NNZ2,3,0
TBCA_HUMAN,O75347,2,0
TEAD1_HUMAN,P28347,2,0
TEX15_HUMAN,Q9BXT5,2,0
THIO_HUMAN,P10599,2,0
TPD54_HUMAN,O43399,2,0
TPM3L_HUMAN,A6NL28,2,0
TXD17_HUMAN,Q9BRA2,2,0
USO1_HUMAN,O60763,2,0
6PGD_HUMAN,P52209,0,2
ACON_HUMAN,Q99798,0,2
AEBP1_HUMAN,Q8IUX7,0,2
AGR2_HUMAN,O95994,0,2
AK1A1_HUMAN,P14550,0,3
AL9A1_HUMAN,P49189,0,2
AP2A1_HUMAN,O95782,0,2
AP2A2_HUMAN,O94973,0,2
AP2M1_HUMAN,Q96CW1,0,2
ARF4_HUMAN,P18085,0,2
ARP2_HUMAN,P61160,0,2
ARP3_HUMAN,P61158,0,2
ASPN_HUMAN,Q9BXN1,0,2
AT1A4_HUMAN,Q13733,0,2
BGH3_HUMAN,Q15582,0,2
CAN2_HUMAN,P17655,0,2
CAPG_HUMAN,P40121,0,2
CATD_HUMAN,P07339,0,3
CFAH_HUMAN,P08603,0,2
CNN3_HUMAN,Q15417,0,2
CO4A2_HUMAN,P08572,0,2
CO4A_HUMAN,P0C0L4,0,2
DHE3_HUMAN,P00367,0,2
DHSA_HUMAN,P31040,0,2
DHX9_HUMAN,Q08211,0,2
DPEP1_HUMAN,P16444,0,2
ECHA_HUMAN,P40939,0,3
EHD2_HUMAN,Q9NZN4,0,2
ENOB_HUMAN,P13929,0,2
F16P1_HUMAN,P09467,0,2
FERM2_HUMAN,Q96AC1,0,2
GDIA_HUMAN,P31150,0,2
GNAI2_HUMAN,P04899,0,2
GNAL_HUMAN,P38405,0,2
GNAT3_HUMAN,A8MTJ3,0,2
GPX3_HUMAN,P22352,0,2
H14_HUMAN,P10412,0,2
HNRCL_HUMAN,O60812,0,2
HNRPC_HUMAN,P07910,0,2
HNRPL_HUMAN,P14866,0,2
HNRPU_HUMAN,Q00839,0,2
HTR5B_HUMAN,Q9P2D3,0,2
ILF3_HUMAN,Q12906,0,2
K6PF_HUMAN,P08237,0,2
KANK2_HUMAN,Q63ZY3,0,2
KU86_HUMAN,P13010,0,3
LAMA4_HUMAN,Q16363,0,2
