Accession,Gene,Up/Down
P98095,FBLN2,Up
P21333,FLNA,Up
Q14847,LASP1,Up
P31949,S100A11,Up
Q14764,MVP,Up
P12814,ACTN1,Up
P13796,LCP1,Up
P35749,MYH11,Up
Q16555,DPYSL2,Up
Q9Y490,TLN1,Up
P04233,CD74,Up
P19105,MYL12A,Up
P01024,C3,Up
Q6PIU2,NCEH1,Up
P13797,PLS3,Up
P31947,SFN,Up
Q15149,PLEC,Up
Q01995,TAGLN,Up
P60660,MYL6,Up
Q15063,POSTN,Up
P50454,SERPINH1,Up
P06396,GSN,Up
Q14728,MFSD10,Up
P52907,CAPZA1,Up
P35555,FBN1,Up
P12429,ANXA3,Up
P61158,ACTR3,Up
Q07960,ARHGAP1,Up
P02679,FGG,Up
P62318,SNRPD3,Up
Q86YJ6,THNSL2,Up
O14979,HNRPDL,Up
P04083,ANXA1,Up
Q9BWM7,SFXN3,Up
P35580,MYH10,Up
Q16181,SEPT7,Up
Q9Y6C2,EMILIN1,Up
Q14914,PTGR1,Up
Q9Y305,ACOT9,Up
Q70Z35,PREX2,Up
P02751,FN1,Up
P06703,S100A6,Up
P02748,C9,Up
Q16363,LAMA4,Up
P19971,TYMP,Up
P0C0L4,C4B,Up
Q9Y265,RUVBL1,Up
P02675,FGB,Up
P27105,STOM,Up
Q14195,DPYSL3,Up
Q05682,CALD1,Up
P25815,S100P,Up
P04216,THY1,Up
P50552,VASP,Up
P52565,ARHGDIA,Up
P04899,GNAI2,Up
P19075,TSPAN8,Up
P06753,TPM3,Up
P51991,HNRNPA3,Up
O15143,ARPC1B,Up
P38159,RBMX,Up
P06756,ITGAV,Up
Q01082,SPTBN1,Up
Q5VYJ4,SNRPEL1,Up
P19367,HK1,Up
Q9UKM9,RALY,Up
P16144,ITGB4,Up
P10599,TXN,Up
O95994,AGR2,Up
Q9Y230,RUVBL2,Up
P21980,TGM2,Up
P43490,NAMPT,Up
P07585,DCN,Up
P02743,APCS,Up
Q9UJ72,ANXA10,Up
P05997,COL5A2,Up
Q96Q15,SMG1,Up
P30626,SRI,Up
Q9BS40,LXN,Up
P13611,VCAN,Up
P51888,PRELP,Up
Q9NZM1,MYOF,Up
Q6UX06,OLFM4,Up
P41219,PRPH,Up
Q03692,COL10A1,Up
P43304,GPD2,Up
P01903,HLA-DRA,Up
Q7Z406,MYH14,Up
P17844,DDX5,Up
Q9NUQ9,FAM49B,Up
P19823,ITIH2,Up
Q9H1H9,KIF13A,Up
Q16543,CDC37,Up
Q9UDY2,TJP2,Up
P11413,G6PD,Up
P05164,MPO,Up
P02746,C1QB,Up
P20591,MX1,Up
P10301,RRAS,Up
Q9BXN1,ASPN,Up
Q15582,TGFBI,Up
P06702,S100A9,Up
P48059,LIMS1,Up
Q8NE86,MCU,Up
Q12805,EFEMP1,Up
Q99715,COL12A1,Up
Q2TB90,HKDC1,Up
P04114,APOB,Up
P67936,TPM4,Up
P04920,SLC4A2,Up
O60218,AKR1B10,Up
Q9UBX5,FBLN5,Up
P32970,CD70,Up
P10909,CLU,Up
Q6NZI2,PTRF,Up
O00160,MYO1F,Up
P42224,STAT1,Up
Q01813,PFKP,Up
Q07507,DPT,Up
P00491,PNP,Up
Q9UHD8,SEPT9,Up
Q6NUK1,SLC25A24,Up
P40306,PSMB10,Up
Q16787,LAMA3,Up
P35611,ADD1,Up
P30508,HLA-C,Up
O95571,ETHE1,Up
Q09666,AHNAK,Up
Q99729,HNRNPAB,Up
Q9HAW8,UGT1A9,Up
P00751,CFB,Up
A6NM62,LRRC53,Up
Q05707,COL14A1,Up
P36955,SERPINF1,Up
Q9ULZ3,PYCARD,Up
P56470,LGALS4,Up
Q13751,LAMB3,Up
O95782,AP2A1,Up
Q9UH99,SUN2,Up
Q9NR12,PDLIM7,Up
P40121,CAPG,Up
P27216,ANXA13,Up
O14773,TPP1,Up
Q13557,CAMK2D,Up
P06729,CD2,Up
P18283,GPX2,Up
Q99439,CNN2,Up
P13987,CD59,Up
O43175,PHGDH,Down
Q9Y4P3,TBL2,Down
Q9BY50,SEC11C,Down
Q00341,HDLBP,Down
Q96DN0,ERP27,Down
P07237,P4HB,Down
P07477,PRSS1,Down
Q7KZF4,SND1,Down
Q9P2D7,DNAH1,Down
O00400,SLC33A1,Down
Q92959,SLCO2A1,Down
Q15437,SEC23B,Down
Q02878,RPL6,Down
Q9P2E9,RRBP1,Down
O60763,USO1,Down
Q8WVM8,SCFD1,Down
P07099,EPHX1,Down
P06870,KLK1,Down
Q9UHB9,SRP68,Down
Q8IXF9,AQP12A,Down
P16233,PNLIP,Down
Q96AG4,LRRC59,Down
Q6NUQ4,TMEM214,Down
P15880,RPS2,Down
P07478,PRSS2,Down
Q13162,PRDX4,Down
P54577,YARS,Down
Q16822,PCK2,Down
P15085,CPA1,Down
P13667,PDIA4,Down
P08263,GSTA1,Down
P55259,GP2,Down
P80404,ABAT,Down
P62424,RPL7A,Down
O94979,SEC31A,Down
Q15629,TRAM1,Down
Q9BWH2,FUNDC2,Down
P53618,COPB1,Down
O94874,UFL1,Down
P24752,ACAT1,Down
Q96JB5,CDK5RAP3,Down
P27635,RPL10,Down
P62917,RPL8,Down
P49257,LMAN1,Down
P19835,CEL,Down
Q3SY69,ALDH1L2,Down
Q9Y617,PSAT1,Down
Q15005,SPCS2,Down
P51690,ARSE,Down
P46781,RPS9,Down
O60762,DPM1,Down
P21399,ACO1,Down
P26373,RPL13,Down
Q6UW68,TMEM205,Down
Q13087,PDIA2,Down
Q8TCT9,HM13,Down
P08240,SRPR,Down
Q71UM5,RPS27L,Down
P28331,NDUFS1,Down
P46778,RPL21,Down
Q53EL6,PDCD4,Down
P18124,RPL7,Down
Q14165,MLEC,Down
Q53GQ0,HSD17B12,Down
P09132,SRP19,Down
P62277,RPS13,Down
Q9P2X0,DPM3,Down
Q6UXG2,KIAA1324,Down
Q86UP6,CUZD1,Down
P46783,RPS10,Down
P19404,NDUFV2,Down
P46977,STT3A,Down
Q9Y5M8,SRPRB,Down
P26640,VARS,Down
P18621,RPL17,Down
Q9BZQ8,FAM129A,Down
Q9UBV2,SEL1L,Down
Q13724,MOGS,Down
Q06210,GFPT1,Down
P62906,RPL10A,Down
P43307,SSR1,Down
Q8NC51,SERBP1,Down
P62269,RPS18,Down
P19623,SRM,Down
Q5BJF2,TMEM97,Down
Q99798,ACO2,Down
Q9H1K4,SLC25A18,Down
P46459,NSF,Down
Q9NYL4,FKBP11,Down
P51571,SSR4,Down
P13861,PRKAR2A,Down
P11182,DBT,Down
P61313,RPL15,Down
Q9NSD9,FARSB,Down
Q969V3,NCLN,Down
P08217,CELA2A,Down
P28074,PSMB5,Down
P54886,ALDH18A1,Down
Q9HC35,EML4,Down
Q9Y285,FARSA,Down
O75830,SERPINI2,Down
Q9NQW7,XPNPEP1,Down
Q9Y678,COPG,Down
P40313,CTRL,Down
Q13310,PABPC4,Down
P62280,RPS11,Down
Q9NYU2,UGGT1,Down
Q9UNL2,SSR3,Down
P49588,AARS,Down
P47897,QARS,Down
O94903,PROSC,Down
P56192,MARS,Down
P62266,RPS23,Down
Q86YB8,ERO1LB,Down
P50440,GATM,Down
P61011,SRP54,Down
Q96CN7,ISOC1,Down
P18077,RPL35A,Down
O75891,ALDH1L1,Down
P34897,SHMT2,Down
P84098,RPL19,Down
P61009,SPCS3,Down
P60981,DSTN,Down
P49189,ALDH9A1,Down
Q9Y262,EIF3L,Down
Q9Y6B6,SAR1B,Down
Q15363,TMED2,Down
P30040,ERP29,Down
Q9H223,EHD4,Down
P12268,IMPDH2,Down
Q86YZ3,HRNR,Down
Q96NA2,RILP,Down
Q9Y3B3,TMED7,Down
O15260,SURF4,Down
P29803,PDHA2,Down
O43776,NARS,Down
Q14353,GAMT,Down
Q9Y673,ALG5,Down
P46779,RPL28,Down
Q16698,DECR1,Down
Q96A33,CCDC47,Down
P53992,SEC24C,Down
Q9NTJ5,SACM1L,Down
P61353,RPL27,Down
Q9NR45,NANS,Down
P08243,ASNS,Down
Q96IJ6,GMPPA,Down
P36776,LONP1,Down
Q9BVK8,TMEM147,Down
O95831,AIFM1,Down
P23786,CPT2,Down
P52758,HRSP12,Down
P35030,PRSS3,Down
P07814,EPRS,Down
Q9Y315,DERA,Down
P04746,AMY2A,Down
Q9UL12,SARDH,Down
Q99613,EIF3C,Down
P35527,KRT9,Down
Q14203,DCTN1,Down
P19961,AMY2B,Down
P39023,RPL3,Down
Q12907,LMAN2,Down
Q13409,DYNC1I2,Down
Q3LXA3,DAK,Down
P15086,CPB1,Down
Q02252,ALDH6A1,Down
O76094,SRP72,Down
Q9Y3U8,RPL36,Down
Q99832,CCT7,Down
P41250,GARS,Down
P15144,ANPEP,Down
Q9BU23,LMF2,Down
P31937,HIBADH,Down
Q6PKG0,LARP1,Down
P61960,UFM1,Down
P11310,ACADM,Down
Q9Y6N6,LAMC3,Down
P61619,SEC61A1,Down
Q99442,SEC62,Down
P09093,CELA3A,Down
P36578,RPL4,Down
O60704,TPST2,Down
O94855,SEC24D,Down
Q9GZZ1,NAA50,Down
P61923,COPZ1,Down
P40429,RPL13A,Down
Q14749,GNMT,Down
Q14152,EIF3A,Down
Q96EK6,GNPNAT1,Down
P49207,RPL34,Down
Q9BWS9,CHID1,Down
O95168,NDUFB4,Down
Q86VU5,COMTD1,Down
Q8IZ83,ALDH16A1,Down
Q16706,MAN2A1,Down
Q96RQ3,MCCC1,Down
P63173,RPL38,Down
Q9H553,ALG2,Down
P55884,EIF3B,Down
P28161,GSTM2,Down
Q5R3I4,TTC38,Down
P60228,EIF3E,Down
P49589,CARS,Down
Q9UGP8,SEC63,Down
P49419,ALDH7A1,Down
Q14118,DAG1,Down
Q96HY6,DDRGK1,Down
P50895,BCAM,Down
Q00266,MAT1A,Down
P29972,AQP1,Down
P21953,BCKDHB,Down
Q9NRP0,OSTC,Down
Q15043,SLC39A14,Down
P34913,EPHX2,Down
P00167,CYB5A,Down
O95352,ATG7,Down
Q9Y5U9,IER3IP1,Down
P53597,SUCLG1,Down
Q9UID3,C11orf2,Down
P55039,DRG2,Down
P39019,RPS19,Down
P36268,GGT2,Down
