"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff"
PLC+10,"HepG2 hepatocellular carcinoma cells",cancer,35,47,-0.128,-0.1322,-0.0042,0.0031,0.0339,0.0309,-1.6025,-1.714,-0.1115,0.2837,0.3697,0.086,449,294,-155,2.5882,2.7556,0.1673,3.4118,3.3478,-0.0639
MHG+12_P5,"MCF-7 breast cancer cells P5",cancer,409,337,-0.1208,-0.1384,-0.0176,0.023,0.0151,-0.0079,-1.6585,-1.6845,-0.026,0.2843,0.3271,0.0428,594,400,-194,2.8537,3.0875,0.2337,4.2083,3.9652,-0.2432
MHG+12_P2,"MCF-7 breast cancer cells P2",cancer,248,214,-0.1265,-0.1408,-0.0143,0.0264,0.0237,-0.0027,-1.6822,-1.6768,0.0054,0.299,0.3188,0.0198,576,408,-168,2.8152,3.3779,0.5627,4.1351,4.0585,-0.0766
MVC+12_perinecrotic,"HT29 colon cancer cells perinecrotic",cancer,48,52,-0.1474,-0.1526,-0.0053,0.0371,0.0081,-0.029,-1.7167,-1.6912,0.0255,0.3271,0.325,-0.0021,301,429.5,128.5,2.9231,2.6531,-0.27,4,4.0769,0.0769
MVC+12_necrotic,"HT29 colon cancer cells necrotic",cancer,101,186,-0.1299,-0.1498,-0.0199,0.0457,0.0136,-0.0321,-1.6876,-1.7167,-0.0291,0.3223,0.3467,0.0244,306,423.5,117.5,2.6889,2.3254,-0.3634,4.1584,3.5676,-0.5908
YYW+13,"HNSCC tumor spheres",cancer,58,65,-0.1371,-0.1368,4e-04,0.0388,0.0264,-0.0124,-1.6819,-1.6878,-0.0059,0.3475,0.3746,0.0271,715.5,760,44.5,3.3148,3.371,0.0562,3.8276,4.2154,0.3878
ZMH+13_Matr.12h,"HUVEC Matrigel 12h",,48,58,-0.1224,-0.1371,-0.0147,0.0153,1e-04,-0.0152,-1.6717,-1.6381,0.0336,0.31,0.2922,-0.0179,302.5,483,180.5,4,4.58,0.58,4.4762,4.8113,0.3351
ZMH+13_Matr.24h,"HUVEC Matrigel 24h",,196,239,-0.1262,-0.1518,-0.0256,0.0124,-0.035,-0.0474,-1.6782,-1.6602,0.018,0.3136,0.293,-0.0206,294,437,143,3.1852,3.5,0.3148,3.9615,4.2466,0.2851
HKX+14,"U251 glioma cells",cancer,295,68,-0.1376,-0.134,0.0036,0.0331,0.0059,-0.0273,-1.7009,-1.6559,0.045,0.3283,0.3192,-0.0092,395,516,121,2.4538,2.8197,0.3658,3.6884,3.803,0.1147
RKP+14,"colorectal cancer-derived cells",cancer,93,174,-0.135,-0.1198,0.0152,0.0207,0.0135,-0.0072,-1.6614,-1.6415,0.0199,0.3006,0.2949,-0.0056,508,426,-82,3.1235,4.1589,1.0355,3.9773,4.4494,0.4721
WRK+14,"HepG2/C3A hepatocellular carcinoma",cancer,125,291,-0.127,-0.1487,-0.0217,0.0648,0.0291,-0.0358,-1.6505,-1.7273,-0.0768,0.3079,0.3786,0.0707,400,422,22,3.7807,2.4431,-1.3376,4.5726,3.4111,-1.1614
MTK+15,"OV-90AD ovarian cancer multicellular aggregates",cancer,39,90,-0.1397,-0.1546,-0.0148,0.0449,0.0051,-0.0398,-1.7091,-1.6706,0.0385,0.3508,0.348,-0.0028,419,388.5,-30.5,3.6667,3.0385,-0.6282,3.8056,3.593,-0.2125
YLW+16,"HT29 colon carcinoma",cancer,116,225,-0.1207,-0.1567,-0.036,0.0296,0.0015,-0.0281,-1.6608,-1.6992,-0.0384,0.3211,0.3376,0.0165,489.5,381,-108.5,2.8642,3.2807,0.4165,4.0227,3.7946,-0.2281
