"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff"
FTR+10,"Corynebacterium glutamicum in 750 mM NaCl vs control medium",microbial,27,65,-0.1214,-0.1193,0.0021,0.0518,0.0634,0.0116,-1.5736,-1.6077,-0.0341,0.3932,0.3249,-0.0683,319,446,127,NA,NA,NA,NA,NA,NA
LTH+11,"S. cerevisae in 0.7 M NaCl vs control medium (YPD)",microbial,83,173,-0.1626,-0.1474,0.0152,0.063,0.0284,-0.0346,-1.7928,-1.7229,0.0698,0.4204,0.397,-0.0234,395,437,42,NA,NA,NA,NA,NA,NA
OBBH11,"adipose-derived stem cells in 400 mOsm vs 300 mOsm NaCl",,148,144,-0.1314,-0.1355,-0.0042,0.0237,0.046,0.0223,-1.6775,-1.7004,-0.0229,0.3427,0.3624,0.0198,444.5,376.5,-68,3.0776,3.2661,0.1885,3.937,3.7734,-0.1636
KKG+12_25C_aw0.985,"E. coli in NaCl 25C_aw0.985",microbial,114,61,-0.1413,-0.1391,0.0021,0.0436,0.0366,-0.007,-1.7048,-1.6578,0.0469,0.3682,0.3245,-0.0437,307.5,379,71.5,NA,NA,NA,NA,NA,NA
KKG+12_14C_aw0.985,"E. coli in NaCl 14C_aw0.985",microbial,238,61,-0.1381,-0.1422,-0.0041,0.0452,0.0187,-0.0265,-1.7034,-1.6451,0.0583,0.3489,0.3333,-0.0156,306,321,15,NA,NA,NA,NA,NA,NA
KKG+12_25C_aw0.967,"E. coli in NaCl 25C_aw0.967",microbial,263,56,-0.1383,-0.1498,-0.0114,0.0423,0.0715,0.0292,-1.7071,-1.7016,0.0054,0.3344,0.3826,0.0482,311,373,62,NA,NA,NA,NA,NA,NA
KKG+12_14C_aw0.967,"E. coli in NaCl 14C_aw0.967",microbial,372,73,-0.1401,-0.1415,-0.0015,0.0439,0.0383,-0.0056,-1.7101,-1.6872,0.0229,0.3458,0.3549,0.0091,314,330,16,NA,NA,NA,NA,NA,NA
LPK+13,"Lactobacillus johnsonii with vs without 0.1-0.3% bile salt",microbial,123,88,-0.1568,-0.1307,0.0262,0.0938,0.0297,-0.0641,-1.8278,-1.7101,0.1176,0.475,0.396,-0.079,261,339.5,78.5,NA,NA,NA,NA,NA,NA
QHT+13_24.h,"Synechocystis sp. PCC 6803 in 4% w/v vs 0% added NaCl for 24 h",microbial,42,26,-0.1396,-0.1814,-0.0418,0.0978,0.0549,-0.043,-1.6976,-1.7998,-0.1023,0.3043,0.4469,0.1426,191,147,-44,NA,NA,NA,NA,NA,NA
QHT+13_48.h,"Synechocystis sp. PCC 6803 in 4% w/v vs 0% added NaCl for 48 h",microbial,46,62,-0.1467,-0.1634,-0.0168,0.0066,0.0424,0.0358,-1.7079,-1.6959,0.012,0.333,0.414,0.081,356,164.5,-191.5,NA,NA,NA,NA,NA,NA
CLG+15,"human conjunctival epithelial cells in 380 or 480 mOsm vs 280 mOsm NaCl",,25,38,-0.1494,-0.1534,-0.004,0.0256,0.0427,0.0171,-1.7071,-1.7552,-0.0481,0.3781,0.3739,-0.0042,548,438,-110,2.6667,2.6389,-0.0278,3.24,3.5526,0.3126
KLB+15_prot-suc,"Caulobacter crescentus in 200 mM sucrose vs M2 minimal salts medium ",microbial,33,33,-0.1529,-0.1325,0.0204,0.0996,0.0443,-0.0553,-1.6717,-1.5499,0.1218,0.3929,0.2868,-0.1061,463,473,10,NA,NA,NA,NA,NA,NA
KLB+15_prot-NaCl,"Caulobacter crescentus in 40/50 mM NaCl vs M2 minimal salts medium ",microbial,33,27,-0.1439,-0.1246,0.0193,0.0914,0.06,-0.0314,-1.6659,-1.5499,0.1161,0.3785,0.2896,-0.0889,481,479,-2,NA,NA,NA,NA,NA,NA
YDZ+15,"Yarrowia lipolytica in 4.21 osmol/kg vs 3.17 osmol/kg NaCl",microbial,14,28,-0.1413,-0.1248,0.0165,0.077,0.034,-0.043,-1.6492,-1.6294,0.0197,0.412,0.358,-0.054,427.5,330,-97.5,NA,NA,NA,NA,NA,NA
DSNM16_131C,"Anabaena circinalis 131C in 0.45 mol/l NaCl vs medium without added NaCl",microbial,44,55,-0.1552,-0.1591,-0.0039,0.0693,0.0698,5e-04,-1.7647,-1.6925,0.0722,0.4538,0.3519,-0.1019,163,340,177,NA,NA,NA,NA,NA,NA
DSNM16_310F,"Anabaena circinalis 310F in 0.45 mol/l NaCl vs medium without added NaCl",microbial,18,21,-0.15,-0.1439,0.0061,0.1024,0.0574,-0.045,-1.7104,-1.6833,0.0271,0.4573,0.3164,-0.1409,247.5,506,258.5,NA,NA,NA,NA,NA,NA
RBP+16,"Paracoccidioides lutzii in 0.1 M KCl vs medium with no added KCl",microbial,160,141,-0.1371,-0.134,0.0031,0.0695,0.0113,-0.0582,-1.6704,-1.6333,0.0371,0.3646,0.3132,-0.0515,341,341,0,NA,NA,NA,NA,NA,NA
KAK+17,"Lactobacillus fermentum with vs without 1.2% w/v bile salts",microbial,106,81,-0.172,-0.1381,0.0339,0.0482,0.0385,-0.0097,-1.8333,-1.6822,0.1512,0.4699,0.3844,-0.0855,271.5,320,48.5,NA,NA,NA,NA,NA,NA
LYS+17,"Lactobacillus salivarius LI01 with vs without 0.15% ox bile",microbial,177,205,-0.1694,-0.1673,0.0021,0.0359,0,-0.0359,-1.8186,-1.8193,-6e-04,0.4841,0.4747,-0.0093,275,289,14,NA,NA,NA,NA,NA,NA
JBG+18,"Candida albicans in 1 M NaCl vs medium with no added NaCl",microbial,84,63,-0.1506,-0.153,-0.0023,0.0493,0.0213,-0.028,-1.8066,-1.732,0.0746,0.4167,0.4054,-0.0114,365,350,-15,NA,NA,NA,NA,NA,NA
LJC+18_wt,"Listeria monocytogenes wt in 0.5 M NaCl vs control medium",microbial,65,66,-0.1862,-0.2062,-0.0201,0.0958,0.0787,-0.0171,-1.8709,-1.9154,-0.0445,0.5269,0.547,0.0201,273,304,31,NA,NA,NA,NA,NA,NA
LJC+18_mutant,"Listeria monocytogenes mutant in 0.5 M NaCl vs control medium",microbial,37,30,-0.1806,-0.194,-0.0134,0.114,0.1168,0.0028,-1.8293,-1.9227,-0.0934,0.4774,0.5632,0.0858,277,184,-93,NA,NA,NA,NA,NA,NA
SMS+18_wt,"epidermal lysate of mice kept in 40% vs 70% humidity, wt",,113,74,-0.0989,-0.1301,-0.0311,0.0519,0.0119,-0.0399,-1.5785,-1.6832,-0.1047,0.2746,0.3317,0.057,350,429.5,79.5,NA,10,NA,NA,4,NA
SMS+18_FGFR12.deficient,"epidermal lysate of mice kept in 40% vs 70% humidity, FGFR12.deficient",,125,97,-0.1203,-0.1361,-0.0159,0.0207,0.0408,0.0201,-1.642,-1.6892,-0.0472,0.2977,0.3004,0.0028,404,317,-87,NA,NA,NA,NA,NA,NA
MGF+19_10,"Staphylococcus aureus in 10% vs 0% NaCl",microbial,88,58,-0.1735,-0.141,0.0325,0.04,0.011,-0.029,-1.85,-1.7365,0.1135,0.5033,0.4307,-0.0726,308,194,-114,NA,NA,NA,NA,NA,NA
MGF+19_20,"Staphylococcus aureus in 20% vs 0% NaCl",microbial,184,99,-0.1708,-0.1466,0.0241,0.0251,0.0472,0.0221,-1.8376,-1.7676,0.07,0.4717,0.4503,-0.0214,324,204,-120,NA,NA,NA,NA,NA,NA
AST+20,"Lactobacillus fermentum with vs without 0.3% to 1.5% w/v bile salts",microbial,368,378,-0.1511,-0.1529,-0.0018,0.0364,0.0343,-0.0021,-1.7553,-1.7575,-0.0022,0.4041,0.4021,-0.002,236,264.5,28.5,NA,NA,NA,NA,NA,NA
