"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O_rQEC.down","nH2O_rQEC.up","nH2O_rQEC.diff","nO2_biosynth.down","nO2_biosynth.up","nO2_biosynth.diff","nH2O_biosynth.down","nH2O_biosynth.up","nH2O_biosynth.diff","nAA.down","nAA.up","nAA.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff"
BRA+10,"placental secretome",,41,22,-0.1007,-0.1271,-0.0265,0.0348,0.0103,-0.0246,-1.5379,-1.6867,-0.1489,0.1883,0.3643,0.176,390,379.5,-10.5,4.8824,2.375,-2.5074,5.4167,3.6471,-1.7696
PTD+10_Hx48,"A431 cells Hx48",cancer,38,78,-0.1239,-0.1509,-0.0269,-0.0147,0.0454,0.0601,-1.61,-1.7208,-0.1108,0.2318,0.3859,0.1541,605.5,431,-174.5,4.5,2.7568,-1.7432,5.0263,3.2308,-1.7955
PTD+10_Hx72,"A431 cells Hx72",cancer,43,66,-0.1366,-0.1381,-0.0015,-0.0115,0.0432,0.0547,-1.6409,-1.6874,-0.0465,0.2479,0.3676,0.1196,571,275,-296,3.6585,2.7119,-0.9467,4.4884,3.6061,-0.8823
JVC+12,"endothelial cell-derived exosomes",,64,45,-0.1346,-0.1347,-1e-04,0.0056,0.0869,0.0813,-1.6704,-1.6909,-0.0205,0.2907,0.371,0.0803,512,283,-229,4.2632,2.8049,-1.4583,4.6406,3.6667,-0.974
SKA+13,"cytotrophoblast-derived exosomes",,38,25,-0.1464,-0.1009,0.0456,-0.0018,0.046,0.0477,-1.6473,-1.6212,0.0261,0.2758,0.2819,0.0061,422.5,494,71.5,5.0312,6.5455,1.5142,4.8947,5.1739,0.2792
SRS+13a_3,"pMSC 3 / 1 % O2",,193,72,-0.122,-0.1084,0.0136,0.0197,0.0141,-0.0056,-1.6416,-1.6252,0.0165,0.2981,0.2402,-0.058,550,634.5,84.5,4.322,4.5,0.178,4.7696,4.9571,0.1875
SRS+13a_8,"pMSC 8 / 1 % O2",,193,75,-0.122,-0.1163,0.0057,0.0197,-2e-04,-0.0199,-1.6416,-1.6392,0.0024,0.2981,0.2854,-0.0128,550,717,167,4.322,4.875,0.553,4.7696,5.1622,0.3925
LRS+14_Hy,"myoblast secretome",,52,29,-0.1507,-0.1104,0.0403,0.0102,-0.0033,-0.0135,-1.7334,-1.499,0.2344,0.3846,0.2033,-0.1813,430.5,707,276.5,NA,NA,NA,NA,NA,NA
YKK+14_soluble,"U373MG cells soluble",cancer,45,22,-0.14,-0.0743,0.0658,0.0026,0.0045,0.0019,-1.6809,-1.5491,0.1318,0.3355,0.1958,-0.1398,417,363.5,-53.5,2.8837,6,3.1163,3.5778,5.1429,1.5651
YKK+14_exosome,"U373MG cells exosome",cancer,56,40,-0.1405,-0.0887,0.0518,0.0308,0.0031,-0.0277,-1.6825,-1.5648,0.1176,0.3454,0.2125,-0.1329,506.5,407,-99.5,2.62,5.25,2.63,3.5357,4.8947,1.359
