"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","pI.down","pI.up","pI.diff","GRAVY.down","GRAVY.up","GRAVY.diff","nAA.down","nAA.up","nAA.diff"
PNWB09,"_Synechocystis_ sp. PCC6803 in 6% w/v NaCl vs no added salt",,77,55,-0.148,-0.1435,0.0045,-1.7143,-1.6989,0.0154,5.37,5.29,-0.08,-0.2684,-0.2418,0.0267,295,367,72
FTR+10,"_Corynebacterium glutamicum_ in 750 mM NaCl vs control medium",,27,65,-0.1214,-0.1193,0.0021,-1.6629,-1.651,0.0119,5.41,4.97,-0.44,-0.0923,-0.2113,-0.1191,319,446,127
LPK+13,"_Lactobacillus johnsonii_ with vs without 0.1-0.3% bile salt",,123,88,-0.1568,-0.1307,0.0262,-1.6398,-1.7048,-0.0649,5.85,5.175,-0.675,-0.4274,-0.3602,0.0673,261,339.5,78.5
QHT+13_Protein.24.h,"_Synechocystis_ sp. PCC 6803 Protein in 4% w/v vs 0% added NaCl for 24 h",,42,26,-0.1396,-0.1814,-0.0418,-1.6268,-1.6598,-0.0329,7.135,5.635,-1.5,-0.2607,-0.1499,0.1108,191,147,-44
QHT+13_Protein.48.h,"_Synechocystis_ sp. PCC 6803 Protein in 4% w/v vs 0% added NaCl for 48 h",,46,62,-0.1467,-0.1634,-0.0168,-1.7263,-1.6909,0.0354,5.48,5.235,-0.245,-0.2256,-0.2226,0.003,356,164.5,-191.5
ADW+14_Protein,"_Bifidobacterium longum_ BBMN68 Protein with vs without 0.75 g/l ox bile",,20,24,-0.127,-0.1191,0.0079,-1.6832,-1.6497,0.0335,5.03,5.365,0.335,-0.2197,-0.1921,0.0276,330,405,75
KKG+14_Protein_immediate,"_Escherichia coli_ Protein in NaCl (0.967 aw) vs control for immediate",,30,158,-0.154,-0.1662,-0.0121,-1.6613,-1.7087,-0.0474,5.93,6.26,0.33,-0.2602,-0.1387,0.1215,228,396,168
KKG+14_Protein_30min,"_Escherichia coli_ Protein in NaCl (0.967 aw) vs control for 30 min",,21,162,-0.1576,-0.1723,-0.0147,-1.6577,-1.7016,-0.0439,5.61,6.37,0.76,-0.2753,-0.135,0.1403,248,370.5,122.5
KKG+14_Protein_80min,"_Escherichia coli_ Protein in NaCl (0.967 aw) vs control for 80 min",,37,126,-0.1441,-0.1728,-0.0288,-1.6465,-1.7027,-0.0562,5.61,6.615,1.005,-0.2643,-0.1033,0.161,286,367.5,81.5
KKG+14_Protein_310min,"_Escherichia coli_ Protein in NaCl (0.967 aw) vs control for 310 min",,12,399,-0.1452,-0.1469,-0.0017,-1.6507,-1.7074,-0.0568,5.33,5.9,0.57,-0.2389,-0.1909,0.048,207.5,338,130.5
PBP+14_4.C,"_Listeria monocytogenes_ in 3% NaCl vs control at 4.C",,54,86,-0.1748,-0.1588,0.016,-1.6797,-1.6571,0.0226,5.36,5.2,-0.16,-0.1838,-0.2337,-0.0498,399,350.5,-48.5
PBP+14_37.C,"_Listeria monocytogenes_ in 3% NaCl vs control at 37.C",,60,25,-0.1744,-0.171,0.0034,-1.6589,-1.6674,-0.0086,5.375,5.34,-0.035,-0.202,-0.2185,-0.0164,325.5,344,18.5
KLB+15_prot-suc,"_Caulobacter crescentus_ Protein in 200 mM sucrose vs M2 minimal salts medium",,33,33,-0.1529,-0.1325,0.0204,-1.6006,-1.6656,-0.065,5.34,5.95,0.61,-0.1657,-0.1107,0.055,463,473,10
KLB+15_prot-NaCl,"_Caulobacter crescentus_ Protein in 40/50 mM NaCl vs M2 minimal salts medium",,33,27,-0.1439,-0.1246,0.0193,-1.6084,-1.6347,-0.0262,5.28,5.98,0.7,-0.177,-0.1023,0.0747,481,479,-2
SKV+16_Glucose_LB,"_Escherichia coli_ in Glucose vs LB",,743,282,-0.144,-0.1391,0.0048,-1.6889,-1.6937,-0.0048,5.97,5.89,-0.08,-0.1928,-0.1793,0.0135,309,310.5,1.5
SKV+16_Osmotic.stress.glucose_LB,"_Escherichia coli_ in Osmotic.stress.glucose vs LB",,978,343,-0.1438,-0.1382,0.0056,-1.697,-1.6916,0.0054,5.995,5.78,-0.215,-0.1861,-0.2052,-0.0192,318,268,-50
KAK+17,"_Lactobacillus fermentum_ with vs without 1.2% w/v bile salts",,106,81,-0.172,-0.1381,0.0339,-1.6912,-1.6931,-0.0018,9.305,5.13,-4.175,-0.2887,-0.2588,0.0299,271.5,320,48.5
LYS+17,"_Lactobacillus salivarius_ LI01 with vs without 0.15% ox bile",,177,205,-0.1694,-0.1673,0.0021,-1.7008,-1.75,-0.0492,5.59,5.77,0.18,-0.3307,-0.2523,0.0784,275,289,14
