"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","pI.down","pI.up","pI.diff","GRAVY.down","GRAVY.up","GRAVY.diff","nAA.down","nAA.up","nAA.diff"
PNWB09,"_Synechocystis_ sp. PCC6803 in 6% w/v NaCl vs no added salt",,77,55,-0.148,-0.1435,0.0045,-1.0664,-1.0361,0.0302,5.37,5.29,-0.08,-0.2684,-0.2418,0.0267,295,367,72
FTR+10,"_Corynebacterium glutamicum_ in 750 mM NaCl vs control medium",,27,65,-0.1214,-0.1193,0.0021,-1.0429,-1.0017,0.0412,5.41,4.97,-0.44,-0.0923,-0.2113,-0.1191,319,446,127
LPK+13,"_Lactobacillus johnsonii_ with vs without 0.1-0.3% bile salt",,123,88,-0.1568,-0.1307,0.0262,-0.9658,-1.0641,-0.0983,5.85,5.175,-0.675,-0.4274,-0.3602,0.0673,261,339.5,78.5
QHT+13_Protein.24.h,"_Synechocystis_ sp. PCC 6803 Protein in 4% w/v vs 0% added NaCl for 24 h",,42,26,-0.1396,-0.1814,-0.0418,-0.9354,-1.0588,-0.1233,7.135,5.635,-1.5,-0.2607,-0.1499,0.1108,191,147,-44
QHT+13_Protein.48.h,"_Synechocystis_ sp. PCC 6803 Protein in 4% w/v vs 0% added NaCl for 48 h",,46,62,-0.1467,-0.1634,-0.0168,-1.0626,-1.0588,0.0039,5.48,5.235,-0.245,-0.2256,-0.2226,0.003,356,164.5,-191.5
ADW+14_Protein,"_Bifidobacterium longum_ BBMN68 Protein with vs without 0.75 g/l ox bile",,20,24,-0.127,-0.1191,0.0079,-1.0314,-1.0143,0.0171,5.03,5.365,0.335,-0.2197,-0.1921,0.0276,330,405,75
KKG+14_Protein_immediate,"_Escherichia coli_ Protein in NaCl (0.967 aw) vs control for immediate",,30,158,-0.154,-0.1662,-0.0121,-1.0258,-1.0529,-0.0271,5.93,6.26,0.33,-0.2602,-0.1387,0.1215,228,396,168
KKG+14_Protein_30min,"_Escherichia coli_ Protein in NaCl (0.967 aw) vs control for 30 min",,21,162,-0.1576,-0.1723,-0.0147,-1.025,-1.0434,-0.0184,5.61,6.37,0.76,-0.2753,-0.135,0.1403,248,370.5,122.5
KKG+14_Protein_80min,"_Escherichia coli_ Protein in NaCl (0.967 aw) vs control for 80 min",,37,126,-0.1441,-0.1728,-0.0288,-0.9918,-1.0368,-0.045,5.61,6.615,1.005,-0.2643,-0.1033,0.161,286,367.5,81.5
KKG+14_Protein_310min,"_Escherichia coli_ Protein in NaCl (0.967 aw) vs control for 310 min",,12,399,-0.1452,-0.1469,-0.0017,-1.0047,-1.0456,-0.0408,5.33,5.9,0.57,-0.2389,-0.1909,0.048,207.5,338,130.5
