protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
gi|2997727,sequence,YDZ+15,NA,1,37,8,29,26,16,45,10,34,50,21,10,18,23,10,16,19,28,44,6,10
gi|50542930,sequence,YDZ+15,NA,1,22,0,19,31,15,24,4,20,32,38,4,13,17,8,16,20,21,22,7,14
gi|50545279,sequence,YDZ+15,NA,1,9,0,13,8,7,56,8,6,6,4,1,35,4,13,8,6,2,0,3,12
gi|50546136,sequence,YDZ+15,NA,1,14,3,18,23,11,27,10,21,26,33,8,18,19,7,13,21,24,27,5,9
gi|50546383,sequence,YDZ+15,NA,1,24,0,10,13,7,21,8,15,19,20,2,17,9,14,5,7,11,12,8,7
gi|50547013,sequence,YDZ+15,NA,1,68,3,34,27,21,45,17,26,34,39,6,30,16,13,9,42,27,41,4,14
gi|50547339,sequence,YDZ+15,NA,1,15,0,7,14,3,16,3,7,10,13,2,5,5,7,13,8,3,10,1,5
gi|50547857,sequence,YDZ+15,NA,1,7,2,11,15,7,8,4,7,10,15,3,9,10,3,12,6,6,10,0,4
gi|50548125,sequence,YDZ+15,NA,1,41,2,10,17,8,28,8,20,33,26,5,19,16,12,27,27,18,34,7,5
gi|50548179,sequence,YDZ+15,NA,1,3,1,12,6,5,8,3,11,13,9,1,5,3,8,5,3,9,3,0,2
gi|50548309,sequence,YDZ+15,NA,1,92,8,40,53,15,27,11,26,58,37,19,23,31,21,22,30,24,17,2,19
gi|50548497,sequence,YDZ+15,NA,1,34,0,24,32,6,14,4,17,20,26,4,8,14,15,21,26,12,20,3,10
gi|50550443,sequence,YDZ+15,NA,1,24,1,20,14,14,20,5,17,31,24,3,16,20,8,1,23,18,18,4,10
gi|50550873,sequence,YDZ+15,NA,1,32,0,20,18,14,33,8,16,26,28,3,17,20,7,14,20,19,38,0,5
gi|50551205,sequence,YDZ+15,NA,1,9,0,12,12,4,12,0,4,18,4,1,6,3,7,1,17,11,5,0,3
gi|50551349,sequence,YDZ+15,NA,1,61,3,42,56,29,61,5,46,52,44,7,30,30,25,27,34,44,40,0,13
gi|50551783,sequence,YDZ+15,NA,1,51,6,25,31,27,51,5,27,41,43,6,32,23,22,14,24,34,39,6,15
gi|50552436,sequence,YDZ+15,NA,1,64,5,37,42,27,65,22,44,37,50,12,33,36,23,25,44,44,40,12,32
gi|50552928,sequence,YDZ+15,NA,1,55,3,55,58,38,39,12,49,65,61,9,30,41,33,36,41,35,62,11,23
gi|50553006,sequence,YDZ+15,NA,1,52,2,54,58,27,55,10,44,60,52,9,28,20,18,23,36,46,56,2,18
gi|50553052,sequence,YDZ+15,NA,1,25,7,28,22,5,34,14,27,28,24,10,16,16,9,15,17,20,32,6,13
gi|50553214,sequence,YDZ+15,NA,1,42,4,28,26,15,40,14,33,31,39,12,22,24,17,21,29,23,30,2,19
gi|50553396,sequence,YDZ+15,NA,1,54,8,22,25,12,41,6,24,30,34,8,21,18,14,11,26,22,33,0,5
gi|50553496,sequence,YDZ+15,NA,1,16,3,10,11,4,16,7,7,6,14,2,1,12,6,10,12,8,12,2,3
gi|50553568,sequence,YDZ+15,NA,1,19,0,13,17,6,15,4,11,17,25,2,3,14,11,9,14,14,26,1,8
gi|50553945,sequence,YDZ+15,NA,1,22,3,13,9,12,13,4,9,13,13,1,11,16,5,4,12,10,19,1,6
gi|50554713,sequence,YDZ+15,NA,1,36,4,40,30,28,38,20,21,33,29,12,30,32,26,24,35,27,32,8,27
gi|50554753,sequence,YDZ+15,NA,1,37,2,37,29,30,42,19,25,33,30,7,28,33,28,24,37,29,30,7,25
gi|50554955,sequence,YDZ+15,NA,1,26,3,15,26,12,30,5,22,25,28,7,17,18,7,10,15,26,26,4,7
gi|50555007,sequence,YDZ+15,NA,1,34,9,28,46,20,24,8,24,39,36,7,22,17,23,25,23,18,26,5,19
gi|50555229,sequence,YDZ+15,NA,1,21,1,18,15,9,22,3,20,24,19,2,10,8,6,8,19,11,22,4,5
