Cohort,Name,"UniProt ID"
AIP,"40S ribosomal protein S16",P62249
AIP,"Actin-related protein 2/3 complex subunit 4",P59998
AIP,"Adenylate kinase 2, mitochondrial",P54819
AIP,"Band 3 anion transport protein",P02730
AIP,"BCL2/adenovirus E1B 19 kDa protein-interacting protein 2",Q12982
AIP,"Beta-1,4-galactosyltransferase 3",O60512
AIP,"Clathrin light chain A",P09496
AIP,Coronin-1A,P31146
AIP,Coronin-1C,Q9ULV4
AIP,"Eosinophil peroxidase",P11678
AIP,"Heat shock protein beta-6",O14558
AIP,"Histone H2A type 1",P0C0S8
AIP,"Histone H2A type 1-J",Q99878
AIP,"Histone H2B type 1-C/E/F/G/I",P62807
AIP,"HLA class I histocompatibility antigen, A-30 alpha chain",P16188
AIP,"HLA class II histocompatibility antigen, DRB1-1 beta chain",P04229
AIP,"HLA class II histocompatibility antigen, DRB1-11 beta chain",P20039
AIP,"Ig gamma-1 chain C region",P01857
AIP,"Ig heavy chain V-III region BRO",P01766
AIP,"Ig heavy chain V-III region KOL",P01772
AIP,"Inner centromere protein",Q9NQS7
AIP,"Keratin, type I cuticular Ha3-I",O76009
AIP,"Keratin, type II cuticular Hb6",O43790
AIP,"Laminin subunit alpha-5",O15230
AIP,Myosin-11,P35749
AIP,Synemin,O15061
AIP,"Tropomyosin beta chain",P07951
AIP,"Tubulin alpha-1B chain",P68363
AIP,"Ubiquitin-like modifier-activating enzyme 1",P22314
CP,"28S ribosomal protein S29, mitochondrial",P51398
CP,"40S ribosomal protein S26",P62854
CP,"60S ribosomal protein L10",P27635
CP,"60S ribosomal protein L38",P63173
CP,"60S ribosomal protein L5",P46777
CP,"60S ribosomal protein L6",Q02878
CP,"60S ribosomal protein L9",P32969
CP,"AF4/FMR2 family member 4",Q9UHB7
CP,"Annexin A6",P08133
CP,"Antigen peptide transporter 1",Q03518
CP,"Arf-GAP domain and FG repeats-containing protein 1",P52594
CP,Beta-2-microglobulin,P61769
CP,"BTB/POZ domain-containing protein KCTD12",Q96CX2
CP,"Cathepsin B",P07858
CP,"Coagulation factor XIII A chain",P00488
CP,"Complement C4-B",P0C0L5
CP,"Cytosol aminopeptidase",P28838
CP,"F-actin-capping protein subunit alpha-1",P52907
CP,"F-actin-capping protein subunit alpha-2",P47755
CP,"Glucosidase 2 subunit beta",P14314
CP,"Heat shock-related 70 kDa protein 2",P54652
CP,"Histone H1.0",P07305
CP,"Histone H2A.J",Q9BTM1
CP,"Histone H2B type 1-L",Q99880
CP,"HLA class II histocompatibility antigen, DRB1-15 beta chain",P01911
CP,"HLA class II histocompatibility antigen, DRB1-7 beta chain",P13761
CP,Hornerin,Q86YZ3
CP,"Ig heavy chain V-I region EU",P01742
CP,"Ig kappa chain V-I region HK101",P01601
CP,"Ig kappa chain V-III region POM",P01624
CP,Insulin,P01308
CP,"Junction plakoglobin",P14923
CP,Lithostathine-1-beta,P48304
CP,"Lysyl oxidase homolog 1",Q08397
CP,Mimecan,P20774
CP,Moesin,P26038
CP,"Neurosecretory protein VGF",O15240
CP,"Non-secretory ribonuclease",P10153
CP,"Pancreatic alpha-amylase",P04746
CP,"Pancreatic triacylglycerol lipase",P16233
CP,"Peroxiredoxin-5, mitochondrial",P30044
CP,"Phosphoglycerate mutase 1",P18669
CP,"Probable ATP-dependent RNA helicase DDX17",Q92841
CP,"Protein canopy homolog 2",Q9Y2B0
CP,"Protein disulfide-isomerase A6",Q15084
CP,"Putative 40S ribosomal protein S26-like 1",Q5JNZ5
CP,"Putative 60S ribosomal protein L39-like 5",Q59GN2
CP,"Serum amyloid A protein",P02735
CP,"Serum amyloid P-component",P02743
CP,"Sulfatase-modifying factor 2",Q8NBJ7
CP,"Thioredoxin domain-containing protein 5",Q8NBS9
CP,"Tryptophan-tRNA ligase, cytoplasmic",P23381
CP,"Tubulin alpha-1A chain",Q71U36
PC,"14-3-3 protein epsilon",P62258
PC,"40S ribosomal protein S18",P62269
PC,"40S ribosomal protein S24",P62847
PC,"40S ribosomal protein S3",P23396
PC,"40S ribosomal protein SA",P08865
PC,"60S acidic ribosomal protein P0",P05388
PC,"60S acidic ribosomal protein P2",P05387
PC,"60S ribosomal protein L37a",P61513
PC,"Acyl-coenzyme A synthetase ACSM6, mitochondrial",Q6P461
PC,"Aldehyde dehydrogenase family 16 member A1",Q8IZ83
PC,"Aldehyde dehydrogenase, mitochondrial",P05091
PC,"Alpha-1-acid glycoprotein 1",P02763
PC,Alpha-1-antichymotrypsin,P01011
PC,"Anterior gradient protein 2 homolog",O95994
PC,"Anterior gradient protein 3 homolog",Q8TD06
PC,"Apolipoprotein E",P02649
PC,Azurocidin,P20160
PC,"Band 4.1-like protein 2",O43491
PC,"Carcinoembryonic antigen-related cell adhesion molecule 5",P06731
PC,Catalase,P04040
PC,"Catenin alpha-2",P26232
PC,Chymotrypsin-C,Q99895
PC,"Complement C4-A",P0C0L4
PC,"Complement component C9",P02748
PC,"Dolichyl-diphosphooligosaccharide-protein glycosyltransferase 1",P04843
PC,"ELAV-like protein 1",Q15717
PC,Epiplakin,P58107
PC,"Erythrocyte band 7 integral membrane protein",P27105
PC,"Fatty acid synthase",P49327
PC,"Fatty acid-binding protein, liver",P07148
PC,Filamin-B,O75369
PC,"Heat shock protein HSP 90-beta",P08238
PC,"Heterogeneous nuclear ribonucleoprotein Q",O60506
PC,"Heterogeneous nuclear ribonucleoproteins C1/C2",P07910
PC,"Histone H2A type 2-A",Q6FI13
PC,"Histone H2A.Z",P0C0S5
PC,"Histone H2B type 1-O",P23527
PC,"Histone H2B type 2-F",Q5QNW6
