"Identified Proteins",UniProtKB.Entry,"Fold Change by Category (0M / 1M)","Fold Change by Category (1M / 3.5M)"
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=dapD PE=3 SV=1",G4L5Z8,1.53,NA
"3-dehydroquinate synthase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=aroB PE=3 SV=1",G4L851,1.55,NA
"3-methyladenine-DNA glycosylase I OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=tag PE=4 SV=1",G4L8A7,1.53,NA
"30S ribosomal protein S14 type Z OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=rpsZ PE=3 SV=1",G4L3B9,NA,1.59
"30S ribosomal protein S20 OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=rpsT PE=3 SV=1",G4L898,-1.77,NA
"50S ribosomal protein L32 OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=rpmF PE=3 SV=1",G4L6Q3,-2.28,1.89
"50S ribosomal protein L7/L12 OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=rplL PE=3 SV=1",G4L655,-1.55,NA
"6-phospho-beta-glucosidase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=bglA PE=3 SV=1",G4L796,NA,1.6
"Aldehyde dehydrogenase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_14240 PE=4 SV=1",G4L877,NA,-1.53
"Aldehyde-alcohol dehydrogenase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=adhE PE=3 SV=1",G4L2U8,2.13,NA
"Aldo-keto reductase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_00190 PE=4 SV=1",G4L3N0,NA,-1.96
"Aldo-keto reductase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_03640 PE=4 SV=1",G4L567,NA,-1.51
"Aldose 1-epimerase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=galM PE=3 SV=1",G4L5H6,-1.65,NA
"Arginine deiminase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=arcA PE=3 SV=1",G4L4U5,NA,-2.17
"Arginine deiminase pathway regulator OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=arcR PE=4 SV=1",G4L4U2,NA,-2.03
"Arginine repressor OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=argR PE=3 SV=1",G4L4U7,1.57,NA
"Argininosuccinate synthase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=argG PE=3 SV=1",G4L7Q2,NA,1.73
"Aspartate racemase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_12790 PE=3 SV=1",G4L7T2,1.65,NA
"Beta-glucoside-specific phosphotransferase system enzyme II OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=bglP PE=4 SV=1",G4L453,-1.6,NA
"Cadmium resistance protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=cadD PE=4 SV=1",G4L416,NA,-1.57
"Carbamate kinase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=arcC PE=3 SV=1",G4L4U3,NA,-2.46
"Cell division protein FtsW OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=ftsW PE=3 SV=1",G4L8H4,1.96,NA
"Cell division protein ZapA OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_18550 PE=4 SV=1",G4L9F8,NA,1.72
"Citrate transporter OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_07920 PE=3 SV=1",G4L6E5,NA,1.71
"Cl(-)/H(+) exchange transporter OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=clcA PE=4 SV=1",G4L8C2,NA,-1.58
"Copper chaperone CopZ OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=copZ PE=4 SV=1",G4L6C9,-2.27,NA
"Cytochrome bd-type oxidase subunit I OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=cydA PE=4 SV=1",G4L4C4,-1.61,NA
"D-3-phosphoglycerate dehydrogenase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_03060 PE=4 SV=1",G4L509,2.46,NA
"D-ribose pyranase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=rbsD PE=3 SV=1",G4L5H4,-1.56,NA
"DNA processing protein OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=dprA PE=4 SV=1",G4L8M2,1.66,NA
"DNA-binding protein HU OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=hup PE=3 SV=1",G4L2J8,NA,1.61
"Demethylmenaquinone methyltransferase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=menH PE=3 SV=1",G4L5U3,1.92,1.88
"Deoxynucleoside kinase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=TEH_19420 PE=4 SV=1",G4L2E0,-1.8,NA
"Diaminopimelate epimerase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=dapF PE=3 SV=1",G4L603,1.73,NA
"Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=pdhC PE=3 SV=1",G4L8I0,-1.52,NA
"Energy-coupling factor transporter ATP-binding protein EcfA OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=ecfA PE=3 SV=1",G4L3A4,NA,1.84
"Foldase protein PrsA OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=prsA PE=3 SV=1",G4L406,-2.3,NA
"Folylpolyglutamate synthase OS=Tetragenococcus halophilus (strain DSM 20338 / JCM 20259 / NCIMB 9735 / NBRC 12172) GN=folC PE=3 SV=1",G4L6X2,2.2,NA
